time_ns,generation,batch_active,queue_current_bytes,queue_predicted_bytes,pending_excess_bytes,arrival_wire_bps,service_wire_bps,base_target_bps,boost_requested_bps,boost_effective_bps,boost_lease_expire_ns,drain_bps,aggregate_requested_bps,aggregate_applied_bps,zone,veto_reason,background_applied_bps,incast_applied_bps
585000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
590000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
595000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
600000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
605000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
610000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
615000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
620000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
625000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
630000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
635000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
640000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
645000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
650000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
655000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
660000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
665000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
670000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
675000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
