time_ns,event,link_id,node_id,if_index,packet_uid,packet_bytes
20014900,TX_BEGIN,0,84,1,681,1048
20014920,TX_END,0,84,1,681,1048
20014920,TX_BEGIN,0,84,1,683,1048
20014940,TX_END,0,84,1,683,1048
20014940,TX_BEGIN,0,84,1,685,1048
20014960,TX_END,0,84,1,685,1048
20014960,TX_BEGIN,0,84,1,687,1048
20014980,TX_END,0,84,1,687,1048
20014980,TX_BEGIN,0,84,1,689,1048
20015000,TX_END,0,84,1,689,1048
20015000,TX_BEGIN,0,84,1,691,1048
20015020,TX_END,0,84,1,691,1048
20015020,TX_BEGIN,0,84,1,693,1048
20015040,TX_END,0,84,1,693,1048
20015040,TX_BEGIN,0,84,1,695,1048
20015060,TX_END,0,84,1,695,1048
20015060,TX_BEGIN,0,84,1,697,1048
20015080,TX_END,0,84,1,697,1048
20015080,TX_BEGIN,0,84,1,699,1048
20015100,TX_END,0,84,1,699,1048
20015100,TX_BEGIN,0,84,1,701,1048
20015120,TX_END,0,84,1,701,1048
20015120,TX_BEGIN,0,84,1,703,1048
20015140,TX_END,0,84,1,703,1048
20015140,TX_BEGIN,0,84,1,705,1048
20015160,TX_END,0,84,1,705,1048
20015160,TX_BEGIN,0,84,1,707,1048
20015180,TX_END,0,84,1,707,1048
20015180,TX_BEGIN,0,84,1,709,1048
20015200,TX_END,0,84,1,709,1048
20015200,TX_BEGIN,0,84,1,711,1048
20015220,TX_END,0,84,1,711,1048
20015220,TX_BEGIN,0,84,1,713,1048
20015240,TX_END,0,84,1,713,1048
20015240,TX_BEGIN,0,84,1,715,1048
20015260,TX_END,0,84,1,715,1048
20015260,TX_BEGIN,0,84,1,717,1048
20015280,TX_END,0,84,1,717,1048
20015280,TX_BEGIN,0,84,1,719,1048
20015300,TX_END,0,84,1,719,1048
20015300,TX_BEGIN,0,84,1,721,1048
20015320,TX_END,0,84,1,721,1048
20015320,TX_BEGIN,0,84,1,723,1048
20015340,TX_END,0,84,1,723,1048
20015340,TX_BEGIN,0,84,1,725,1048
20015360,TX_END,0,84,1,725,1048
20015360,TX_BEGIN,0,84,1,727,1048
20015380,TX_END,0,84,1,727,1048
20015380,TX_BEGIN,0,84,1,729,1048
20015400,TX_END,0,84,1,729,1048
20015400,TX_BEGIN,0,84,1,731,1048
20015420,TX_END,0,84,1,731,1048
20015420,TX_BEGIN,0,84,1,733,1048
20015440,TX_END,0,84,1,733,1048
20015440,TX_BEGIN,0,84,1,735,1048
20015460,TX_END,0,84,1,735,1048
20015460,TX_BEGIN,0,84,1,737,1048
20015480,TX_END,0,84,1,737,1048
20015480,TX_BEGIN,0,84,1,739,1048
20015500,TX_END,0,84,1,739,1048
20015500,TX_BEGIN,0,84,1,741,1048
20015520,TX_END,0,84,1,741,1048
20015520,TX_BEGIN,0,84,1,743,1048
20015540,TX_END,0,84,1,743,1048
20015540,TX_BEGIN,0,84,1,745,1048
20015560,TX_END,0,84,1,745,1048
20015560,TX_BEGIN,0,84,1,747,1048
20015580,TX_END,0,84,1,747,1048
20015580,TX_BEGIN,0,84,1,749,1048
20015600,TX_END,0,84,1,749,1048
20015600,TX_BEGIN,0,84,1,751,1048
20015620,TX_END,0,84,1,751,1048
20015620,TX_BEGIN,0,84,1,753,1048
20015640,TX_END,0,84,1,753,1048
20015640,TX_BEGIN,0,84,1,755,1048
20015660,TX_END,0,84,1,755,1048
20015660,TX_BEGIN,0,84,1,757,1048
20015680,TX_END,0,84,1,757,1048
20015680,TX_BEGIN,0,84,1,759,1048
20015700,TX_END,0,84,1,759,1048
20015700,TX_BEGIN,0,84,1,761,1048
20015720,TX_END,0,84,1,761,1048
20015720,TX_BEGIN,0,84,1,763,1048
20015740,TX_END,0,84,1,763,1048
20015740,TX_BEGIN,0,84,1,765,1048
20015760,TX_END,0,84,1,765,1048
20015760,TX_BEGIN,0,84,1,767,1048
20015780,TX_END,0,84,1,767,1048
20015780,TX_BEGIN,0,84,1,769,1048
20015800,TX_END,0,84,1,769,1048
20015800,TX_BEGIN,0,84,1,771,1048
20015820,TX_END,0,84,1,771,1048
