flow_id,round_id,total_feedback,int_hop_count,actionable_feedback,late_same_round_feedback,stale_older_round_feedback,feedback_during_off,live_rate_changes_during_off,first_feedback_time,last_feedback_time,mean_remaining_unsent_ratio,min_remaining_unsent_ratio,mean_remaining_unsent_bytes,min_remaining_unsent_bytes,max_normalized_load,mean_normalized_load,first_rate_before,last_rate_after,feedback_changed_live_rate,late_action_ratio,actionable_byte_ratio
39,0,4406,3,4390,16,0,16,1,0.020012769,0.026233168,0.448493697,0.000000000,1881118.907,0,19.388896133,6.635911823,400000000000,10726471143,2280,0.000226963,0.448493697
40,0,4406,3,4396,10,0,10,4,0.020013756,0.026048739,0.437846228,0.000000000,1836460.187,0,19.393241978,6.382137336,400000000000,7123661356,2699,0.000907853,0.437846228
41,0,4406,3,4396,10,0,10,7,0.020012727,0.025980935,0.438023079,0.000000000,1837201.952,0,19.392877765,5.303653821,400000000000,6319379454,2866,0.001588743,0.438023079
42,0,4406,3,4396,10,0,10,1,0.020013735,0.026024924,0.436651496,0.000000000,1831449.115,0,19.371644198,5.357717158,400000000000,6313083490,2953,0.000226963,0.436651496
43,0,4406,3,4393,13,0,13,8,0.020012853,0.026199505,0.447266476,0.000000000,1875971.570,0,19.323027602,6.397683711,400000000000,9961103468,2677,0.001815706,0.447266476
44,0,4406,3,4396,10,0,10,1,0.020014743,0.026029992,0.436637896,0.000000000,1831392.073,0,19.369850815,5.360139639,400000000000,6472741475,2943,0.000226963,0.436637896
45,0,4406,3,4396,10,0,10,1,0.020012832,0.026012554,0.437967546,0.000000000,1836969.030,0,19.362197345,5.491133246,400000000000,6486679574,2690,0.000226963,0.437967546
46,0,4406,3,4384,22,0,22,1,0.020012706,0.026333469,0.443149303,0.000000000,1858702.896,0,19.732773717,7.054254762,400000000000,14582860682,2067,0.000226963,0.443149303
47,0,4406,3,4386,20,0,20,19,0.020013714,0.026360791,0.443185496,0.000000000,1858854.698,0,20.256231315,7.048372064,400000000000,25014288915,2094,0.004312301,0.443185496
48,0,4406,3,4397,9,0,9,9,0.020013840,0.025972761,0.436843841,0.000000000,1832255.869,0,19.393987947,5.518543060,400000000000,6221969471,2802,0.002042669,0.436843841
49,0,4406,3,4390,16,0,16,1,0.020012874,0.026230370,0.444384150,0.000000000,1863882.219,0,19.394596473,6.204994311,400000000000,10717396674,2717,0.000226963,0.444384150
50,0,4406,3,4390,16,0,16,1,0.020013987,0.026222408,0.444504283,0.000000000,1864386.092,0,19.374255369,6.200608196,400000000000,10913711475,2758,0.000226963,0.444504283
51,0,4406,3,4390,16,0,16,1,0.020015100,0.026265412,0.444529628,0.000000000,1864492.398,0,19.367069097,6.197306703,400000000000,10819488799,2715,0.000226963,0.444529628
52,0,4406,3,4397,9,0,9,9,0.020012937,0.025823362,0.435697996,0.000000000,1827449.847,0,19.393955817,5.940334963,400000000000,5757763539,2621,0.002042669,0.435697996
53,0,4406,3,4392,14,0,14,1,0.020012979,0.026160689,0.442370772,0.000000000,1855437.500,0,19.388220932,6.413816635,400000000000,8997985767,2719,0.000226963,0.442370772
54,0,4406,3,4384,22,0,22,1,0.020012811,0.026341843,0.443165428,0.000000000,1858770.526,0,19.709784948,7.053916738,400000000000,14897908954,2043,0.000226963,0.443165428
55,0,4406,3,4383,23,0,23,1,0.020013819,0.026340687,0.443161369,0.000000000,1858753.503,0,20.198573232,7.052457927,400000000000,15422735360,2068,0.000226963,0.443161369
56,0,4406,3,4393,13,0,13,1,0.020014071,0.026159709,0.442148990,0.000000000,1854507.276,0,19.389985679,6.425785515,400000000000,8958665628,2736,0.000226963,0.442148990
57,0,4406,3,4391,15,0,15,1,0.020012958,0.026253811,0.447195511,0.000000000,1875673.921,0,19.377064052,6.412380800,400000000000,10361272092,2624,0.000226963,0.447195511
58,0,4406,3,4392,14,0,14,1,0.020013063,0.026166919,0.448394508,0.000000000,1880702.880,0,19.387802404,6.637439775,400000000000,9141432675,2578,0.000226963,0.448394508
59,0,4406,3,4398,8,0,8,1,0.020013021,0.025856569,0.435457668,0.000000000,1826441.837,0,19.368092529,5.929805697,400000000000,5561979941,2606,0.000226963,0.435457668
60,0,4406,3,4386,20,0,20,1,0.020012916,0.026335953,0.446262633,0.000000000,1871761.148,0,20.346209855,6.995092855,400000000000,13285246259,2087,0.000226963,0.446262633
61,0,4406,3,4384,22,0,22,1,0.020013000,0.026335426,0.443161616,0.000000000,1858754.537,0,19.696220827,7.051477626,400000000000,14980350932,2077,0.000226963,0.443161616
62,0,4406,3,4384,22,0,22,1,0.020014008,0.026341923,0.443171661,0.000000000,1858796.670,0,20.290573323,7.056494728,400000000000,14853799422,2079,0.000226963,0.443171661
63,0,4406,3,4395,11,0,11,1,0.020013042,0.026114967,0.447079764,0.000000000,1875188.441,0,19.330212121,6.407194276,400000000000,8652638132,2739,0.000226963,0.447079764
64,0,4406,3,4392,14,0,14,9,0.020013168,0.026202006,0.448321615,0.000000000,1880397.142,0,19.358044451,6.638557765,400000000000,10595234464,2654,0.002042669,0.448321615
