tag,rate_g,size,arm,buffer_mb,n_complete,mean_cct_ms,p99_cct_ms,ideal_ms,p99_over_ideal,qpeak_mb,qdelay_us,pfc,retx,bg_tail_gbps,bg_total_gb
pv10g_16m_dcqs,10,16m,dcqs,64,57,899.2853025614035,915.310296,902.30405,1.014414478316903,1.2226,1025.6,0,0,1.332799999998667,0.0272272
pv10g_16m_dcqn,10,16m,dcqn,64,57,899.2853025614035,915.310296,902.30405,1.014414478316903,1.2226,1025.6,0,0,1.332799999998667,0.0272272
pv10g_16m_dcql,10,16m,dcql,64,27,901.695122777778,915.206222,902.30405,1.0142991358228026,1.1559,969.6,0,0,0.19039999999980958,0.026973968
pv200g_256k_cbap,200,256k,cbap,64,64,0.743618,0.744106,0.70493,1.0555817365646363,0.3605,15.12,0,0,152.3200000000062,0.461828528
pv200g_256k_hpcc,200,256k,hpcc,64,64,0.6417150312500003,0.76917,0.70493,1.0911372900009155,12.4367,521.63,0,0,146.41760000000596,0.442733312
pv200g_256k_dcqs,200,256k,dcqs,64,64,0.6152286250000001,0.736586,0.70493,1.044913935661316,12.0189,504.11,0,0,152.3200000000062,0.455396816
pv200g_256k_dcqn,200,256k,dcqn,64,64,0.6152286250000001,0.736586,0.70493,1.044913935661316,12.0189,504.11,0,0,152.3200000000062,0.455396816
pv200g_256k_dcql,200,256k,dcql,64,64,0.6091648749999999,0.730546,0.70493,1.036345648765564,11.8739,498.03,0,0,152.3200000000062,0.454081152
pv200g_1m_cbap,200,1m,cbap,64,64,2.771502984375,2.921662,2.8197,1.036160522699356,0.4692,19.68,0,0,152.3200000000062,0.458829728
pv200g_1m_hpcc,200,1m,hpcc,64,64,2.9725463125000005,3.11884,2.8197,1.1060892343521118,19.4016,813.76,78,0,146.41760000000596,0.43865304
pv200g_1m_dcqs,200,1m,dcqs,64,64,2.8612964062499993,3.166651,2.8197,1.1230452924966812,17.1604,719.76,0,0,100.3408000000041,0.357764456
pv200g_1m_dcqn,200,1m,dcqn,64,64,2.8612964062499993,3.166651,2.8197,1.1230452924966812,17.1604,719.76,0,0,152.3200000000062,0.408251872
pv200g_1m_dcql,200,1m,dcql,64,64,2.8916257500000024,2.979864,2.8197,1.056801724433899,16.9687,711.72,0,0,152.3200000000062,0.40542348
pv200g_4m_cbap,200,4m,cbap,64,64,11.023591984375,11.558461,11.2788,1.0247952185571194,0.5465,22.92,0,0,152.3200000000062,0.448792792
pv200g_4m_hpcc,200,4m,hpcc,64,64,12.317745890625005,12.454424,11.2788,1.1042330086231231,19.4016,813.76,78,0,146.60800000000597,0.417024552
pv200g_4m_dcqs,200,4m,dcqs,64,64,12.115241734375003,13.633183,11.2788,1.2087440319359304,17.1604,719.76,0,0,6.85440000000028,0.20238092
pv200g_4m_dcqn,200,4m,dcqn,64,64,11.965463468749999,12.970101,11.2788,1.149953915923834,17.1604,719.76,0,0,87.58400000000357,0.2695826
pv200g_4m_dcql,200,4m,dcql,64,64,12.334793078125003,13.156927,11.2788,1.1665182657539843,16.9687,711.72,0,0,81.87200000000334,0.25963896
pv200g_16m_cbap,200,16m,cbap,64,64,43.61574571875,45.806365,45.1152,1.015319942496717,0.5465,22.92,0,0,152.3200000000062,0.453967864
pv200g_16m_hpcc,200,16m,hpcc,64,64,49.55524165624999,49.841211,45.1152,1.1047542298212647,19.4016,813.76,78,0,146.41760000000596,0.36836688
pv200g_16m_dcqs,200,16m,dcqs,64,64,44.81636390625,48.795651,45.1152,1.0815788934007287,17.1604,719.76,0,0,8.56800000000035,0.217395864
pv200g_16m_dcqn,200,16m,dcqn,64,64,44.830068671875004,48.983159,45.1152,1.0857350977137685,17.1604,719.76,0,0,81.11040000000331,0.276119984
pv200g_16m_dcql,200,16m,dcql,64,64,45.94998093750001,49.832231,45.1152,1.1045551838353276,16.9687,711.72,0,0,80.9200000000033,0.27274324
pv400g_256k_cbap,400,256k,cbap,64,64,0.38786868750000003,0.388113,0.35246,1.1011468648910523,0.3529,7.4,0,0,304.63999999995957,0.898925048
pv400g_256k_hpcc,400,256k,hpcc,64,64,0.33379351562500004,0.397636,0.35246,1.1281653404235839,12.7706,267.82,0,0,292.8351999999611,0.862448216
pv400g_256k_dcqs,400,256k,dcqs,64,64,0.3180890000000001,0.378773,0.35246,1.07464759349823,12.2306,256.49,0,0,304.63999999995957,0.884409904
pv400g_256k_dcqn,400,256k,dcqn,64,64,0.3180890000000001,0.378773,0.35246,1.07464759349823,12.2306,256.49,0,0,304.63999999995957,0.884409904
pv400g_256k_dcql,400,256k,dcql,64,64,0.31672337500000003,0.377413,0.35246,1.0707890272140503,12.1658,255.13,0,0,304.63999999995957,0.883206576
pv400g_1m_cbap,400,1m,cbap,64,64,1.3609381093750001,1.485201,1.40985,1.0534460484981536,0.4187,8.78,0,0,304.6400000000124,0.895642552
pv400g_1m_hpcc,400,1m,hpcc,64,64,1.3548929374999996,1.520128,1.40985,1.0782196044921875,21.4864,450.6,326,0,293.025600000012,0.85848028
pv400g_1m_dcqs,400,1m,dcqs,64,64,1.3741755625,1.447016,1.40985,1.0263616085052492,21.4148,449.1,280,0,304.6400000000124,0.881426336
pv400g_1m_dcqn,400,1m,dcqn,64,64,1.3741755625,1.447016,1.40985,1.0263616085052492,21.4148,449.1,280,0,304.6400000000124,0.881426336
pv400g_1m_dcql,400,1m,dcql,64,64,1.3736815,1.445656,1.40985,1.0253969669342042,21.4376,449.58,276,0,304.6400000000124,0.88127592
pv400g_4m_cbap_b8,400,4m,cbap,8,64,5.455091953125001,5.873617,5.6394,1.0415321931242942,0.493,10.34,0,0,304.6400000000124,0.920981936
pv400g_4m_hpcc_b8,400,4m,hpcc,8,64,5.973619156250002,6.291807,5.6394,1.1156872406601905,2.7954,58.62,2442,0,292.8352000000119,0.87510696
pv400g_4m_dcqn_b8,400,4m,dcqn,8,64,6.057043250000003,6.6746,5.6394,1.1835655570030212,2.7227,57.1,2146,0,173.26400000000706,0.539334656
pv400g_4m_cbap_b32,400,4m,cbap,32,64,5.455091953125001,5.873617,5.6394,1.0415321931242942,0.493,10.34,0,0,304.6400000000124,0.920981936
pv400g_4m_hpcc_b32,400,4m,hpcc,32,64,6.113901281249999,6.236402,5.6394,1.1058626145124435,10.8078,226.66,792,0,293.025600000012,0.874415808
pv400g_4m_dcqn_b32,400,4m,dcqn,32,64,5.960570859374999,6.394445,5.6394,1.1338874027132988,10.7355,225.14,724,0,200.30080000000814,0.581506352
pv400g_4m_cbap,400,4m,cbap,64,64,5.455091953125001,5.873617,5.6394,1.0415321931242942,0.493,10.34,0,0,304.6400000000124,0.920981936
pv400g_4m_cbap0,400,4m,cbap0,64,64,5.716182406250001,5.741952,5.6394,1.0181848526000976,0.3967,8.32,0,0,304.6400000000124,0.925493464
pv400g_4m_hpcc,400,4m,hpcc,64,64,6.035703390625001,6.244366,5.6394,1.1072748214006425,21.4864,450.6,812,0,293.025600000012,0.874769
pv400g_4m_dcqs,400,4m,dcqs,64,64,5.99762446875,6.500503,5.6394,1.1526940122246743,21.4148,449.1,322,0,19.23040000000078,0.414179024
pv400g_4m_dcqn,400,4m,dcqn,64,64,5.99762446875,6.500503,5.6394,1.1526940122246743,21.4148,449.1,322,0,162.03040000000658,0.519315048
pv400g_4m_dcql,400,4m,dcql,64,64,5.949077687500002,6.189039,5.6394,1.0974640265107156,21.4376,449.58,544,0,249.42400000001015,0.665479416
pv400g_16m_cbap,400,16m,cbap,64,64,21.579362437500002,23.141956,22.5576,1.0259049996733665,2.0456,42.9,0,0,304.63999999995957,0.920228904
pv400g_16m_hpcc,400,16m,hpcc,64,64,24.788114796874996,25.035085,22.5576,1.1098292153328657,21.4864,450.6,812,0,292.8351999999611,0.82303732
pv400g_16m_dcqs,400,16m,dcqs,64,64,23.68721103124999,27.619285,22.5576,1.2243892680853605,21.4148,449.1,322,0,11.995199999998407,0.414004808
pv400g_16m_dcqn,400,16m,dcqn,64,64,23.37646940625,25.524493,22.5576,1.1315251391381025,21.4148,449.1,322,0,185.63999999997537,0.56928172
pv400g_16m_dcql,400,16m,dcql,64,64,23.944789593750002,25.918404,22.5576,1.1489875897765158,21.4376,449.58,544,0,185.83039999997536,0.564333224
