time,link_id,queue_bytes,utilization,tx_bytes_delta,ecn_marks_delta,pfc_paused,pfc_event_delta,pfc_pause_ns_delta
0.1116,84:1,1281000,0.96,12000,0,0,0,0
0.11161,84:1,1282000,1.04,13000,0,0,0,0
0.11162,84:1,1281000,0.96,12000,0,0,0,0
0.11163,84:1,1281000,1.04,13000,0,0,0,0
0.11164,84:1,1281000,0.96,12000,0,0,0,0
0.11165,84:1,1281000,1.04,13000,0,0,0,0
0.11166,84:1,1282000,0.96,12000,0,0,0,0
0.11167,84:1,1281000,1.04,13000,0,0,0,0
0.11168,84:1,1281000,0.96,12000,0,0,0,0
0.11169,84:1,1282000,1.04,13000,0,0,0,0
0.1117,84:1,1281000,0.96,12000,0,0,0,0
0.11171,84:1,1281000,1.04,13000,0,0,0,0
0.11172,84:1,1282000,0.96,12000,0,0,0,0
0.11173,84:1,1281000,1.04,13000,0,0,0,0
0.11174,84:1,1281000,0.96,12000,0,0,0,0
0.11175,84:1,1282000,1.04,13000,0,0,0,0
0.11176,84:1,1280000,1.04,13000,0,0,0,0
0.11177,84:1,1281000,0.96,12000,0,0,0,0
0.11178,84:1,1281000,1.04,13000,0,0,0,0
0.11179,84:1,1282000,0.96,12000,0,0,0,0
0.1118,84:1,1280000,1.04,13000,0,0,0,0
0.11181,84:1,1282000,0.96,12000,0,0,0,0
0.11182,84:1,1280000,1.04,13000,0,0,0,0
0.11183,84:1,1282000,0.96,12000,0,0,0,0
0.11184,84:1,1280000,1.04,13000,0,0,0,0
0.11185,84:1,1281000,0.96,12000,0,0,0,0
0.11186,84:1,1280000,1.04,13000,0,0,0,0
0.11187,84:1,1282000,0.96,12000,0,0,0,0
0.11188,84:1,1280000,1.04,13000,0,0,0,0
0.11189,84:1,1281000,0.96,12000,0,0,0,0
0.1119,84:1,1280000,1.04,13000,0,0,0,0
0.11191,84:1,1281000,0.96,12000,0,0,0,0
0.11192,84:1,1281000,1.04,13000,0,0,0,0
0.11193,84:1,1281000,0.96,12000,0,0,0,0
0.11194,84:1,1282000,1.04,13000,0,0,0,0
0.11195,84:1,1281000,0.96,12000,0,0,0,0
0.11196,84:1,1281000,1.04,13000,0,0,0,0
0.11197,84:1,1281000,0.96,12000,0,0,0,0
0.11198,84:1,1281000,1.04,13000,0,0,0,0
0.11199,84:1,1281000,0.96,12000,0,0,0,0
0.112,84:1,1282000,1.04,13000,0,0,0,0
0.11201,84:1,1281000,0.96,12000,0,0,0,0
0.11202,84:1,1281000,1.04,13000,0,0,0,0
0.11203,84:1,1281000,0.96,12000,0,0,0,0
0.11204,84:1,1281000,1.04,13000,0,0,0,0
0.11205,84:1,1281000,0.96,12000,0,0,0,0
0.11206,84:1,1281000,1.04,13000,0,0,0,0
0.11207,84:1,1282000,0.96,12000,0,0,0,0
0.11208,84:1,1281000,1.04,13000,0,0,0,0
0.11209,84:1,1280000,1.04,13000,0,0,0,0
0.1121,84:1,1281000,0.96,12000,0,0,0,0
0.11211,84:1,1280000,1.04,13000,0,0,0,0
0.11212,84:1,1281000,0.96,12000,0,0,0,0
0.11213,84:1,1280000,1.04,13000,0,0,0,0
0.11214,84:1,1281000,0.96,12000,0,0,0,0
0.11215,84:1,1280000,1.04,13000,0,0,0,0
0.11216,84:1,1281000,0.96,12000,0,0,0,0
0.11217,84:1,1280000,1.04,13000,0,0,0,0
0.11218,84:1,1281000,0.96,12000,0,0,0,0
0.11219,84:1,1281000,1.04,13000,0,0,0,0
0.1122,84:1,1281000,0.96,12000,0,0,0,0
0.11221,84:1,1280000,1.04,13000,0,0,0,0
0.11222,84:1,1281000,0.96,12000,0,0,0,0
0.11223,84:1,1280000,1.04,13000,0,0,0,0
0.11224,84:1,1281000,0.96,12000,0,0,0,0
0.11225,84:1,1281000,1.04,13000,0,0,0,0
0.11226,84:1,1282000,0.96,12000,0,0,0,0
0.11227,84:1,1281000,1.04,13000,0,0,0,0
0.11228,84:1,1281000,0.96,12000,0,0,0,0
0.11229,84:1,1281000,1.04,13000,0,0,0,0
0.1123,84:1,1281000,0.96,12000,0,0,0,0
0.11231,84:1,1281000,1.04,13000,0,0,0,0
0.11232,84:1,1281000,0.96,12000,0,0,0,0
0.11233,84:1,1282000,1.04,13000,0,0,0,0
0.11234,84:1,1281000,0.96,12000,0,0,0,0
0.11235,84:1,1281000,1.04,13000,0,0,0,0
0.11236,84:1,1281000,0.96,12000,0,0,0,0
0.11237,84:1,1281000,1.04,13000,0,0,0,0
0.11238,84:1,1281000,0.96,12000,0,0,0,0
0.11239,84:1,1282000,1.04,13000,0,0,0,0
0.1124,84:1,1280000,1.04,13000,0,0,0,0
0.11241,84:1,1281000,0.96,12000,0,0,0,0
0.11242,84:1,1280000,1.04,13000,0,0,0,0
0.11243,84:1,1281000,0.96,12000,0,0,0,0
0.11244,84:1,1280000,1.04,13000,0,0,0,0
0.11245,84:1,1281000,0.96,12000,0,0,0,0
0.11246,84:1,1280000,1.04,13000,0,0,0,0
0.11247,84:1,1281000,0.96,12000,0,0,0,0
0.11248,84:1,1280000,1.04,13000,0,0,0,0
0.11249,84:1,1281000,0.96,12000,0,0,0,0
0.1125,84:1,1281000,1.04,13000,0,0,0,0
0.11251,84:1,1281000,0.96,12000,0,0,0,0
0.11252,84:1,1280000,1.04,13000,0,0,0,0
0.11253,84:1,1281000,0.96,12000,0,0,0,0
0.11254,84:1,1280000,1.04,13000,0,0,0,0
0.11255,84:1,1282000,0.96,12000,0,0,0,0
0.11256,84:1,1281000,1.04,13000,0,0,0,0
0.11257,84:1,1281000,0.96,12000,0,0,0,0
0.11258,84:1,1281000,1.04,13000,0,0,0,0
0.11259,84:1,1281000,0.96,12000,0,0,0,0
0.1126,84:1,1282000,1.04,13000,0,0,0,0
0.11261,84:1,1281000,0.96,12000,0,0,0,0
0.11262,84:1,1281000,1.04,13000,0,0,0,0
0.11263,84:1,1281000,0.96,12000,0,0,0,0
0.11264,84:1,1282000,1.04,13000,0,0,0,0
0.11265,84:1,1281000,0.96,12000,0,0,0,0
0.11266,84:1,1281000,1.04,13000,0,0,0,0
0.11267,84:1,1281000,0.96,12000,0,0,0,0
0.11268,84:1,1281000,1.04,13000,0,0,0,0
0.11269,84:1,1282000,0.96,12000,0,0,0,0
0.1127,84:1,1281000,1.04,13000,0,0,0,0
0.11271,84:1,1281000,0.96,12000,0,0,0,0
0.11272,84:1,1282000,1.04,13000,0,0,0,0
0.11273,84:1,1280000,1.04,13000,0,0,0,0
0.11274,84:1,1281000,0.96,12000,0,0,0,0
0.11275,84:1,1281000,1.04,13000,0,0,0,0
0.11276,84:1,1281000,0.96,12000,0,0,0,0
0.11277,84:1,1280000,1.04,13000,0,0,0,0
0.11278,84:1,1281000,0.96,12000,0,0,0,0
0.11279,84:1,1280000,1.04,13000,0,0,0,0
0.1128,84:1,1282000,0.96,12000,0,0,0,0
0.11281,84:1,1280000,1.04,13000,0,0,0,0
0.11282,84:1,1282000,0.96,12000,0,0,0,0
0.11283,84:1,1280000,1.04,13000,0,0,0,0
0.11284,84:1,1282000,0.96,12000,0,0,0,0
0.11285,84:1,1281000,1.04,13000,0,0,0,0
0.11286,84:1,1281000,0.96,12000,0,0,0,0
0.11287,84:1,1280000,1.04,13000,0,0,0,0
0.11288,84:1,1281000,0.96,12000,0,0,0,0
0.11289,84:1,1281000,1.04,13000,0,0,0,0
0.1129,84:1,1282000,0.96,12000,0,0,0,0
0.11291,84:1,1281000,1.04,13000,0,0,0,0
0.11292,84:1,1281000,0.96,12000,0,0,0,0
0.11293,84:1,1281000,1.04,13000,0,0,0,0
0.11294,84:1,1281000,0.96,12000,0,0,0,0
0.11295,84:1,1281000,1.04,13000,0,0,0,0
0.11296,84:1,1281000,0.96,12000,0,0,0,0
0.11297,84:1,1281000,1.04,13000,0,0,0,0
0.11298,84:1,1281000,0.96,12000,0,0,0,0
0.11299,84:1,1281000,1.04,13000,0,0,0,0
0.113,84:1,1281000,0.96,12000,0,0,0,0
0.11301,84:1,1278568,1.04,13000,0,0,0,0
0.11302,84:1,1275528,0.96,12000,0,0,0,0
0.11303,84:1,1274096,1.04,13000,0,0,0,0
0.11304,84:1,1268880,1.04,13000,0,0,0,0
0.11305,84:1,1264880,0.96,12000,0,0,0,0
0.11306,84:1,1259664,1.04,13000,0,0,0,0
0.11307,84:1,1253448,0.96,12000,0,0,0,0
0.11308,84:1,1247840,1.04,13000,0,0,0,0
0.11309,84:1,1242624,0.96,12000,0,0,0,0
0.1131,84:1,1235624,1.04,13000,0,0,0,0
0.11311,84:1,1228624,0.96,12000,0,0,0,0
0.11312,84:1,1221624,1.04,13000,0,0,0,0
0.11313,84:1,1214624,0.96,12000,0,0,0,0
0.11314,84:1,1207624,1.04,13000,0,0,0,0
0.11315,84:1,1201624,0.96,12000,0,0,0,0
0.11316,84:1,1194624,1.04,13000,0,0,0,0
0.11317,84:1,1191624,0.96,12000,0,0,0,0
0.11318,84:1,1186624,1.04,13000,0,0,0,0
0.11319,84:1,1186624,0.96,12000,0,0,0,0
0.1132,84:1,1183624,1.04,13000,0,0,0,0
0.11321,84:1,1181624,0.96,12000,0,0,0,0
0.11322,84:1,1180624,1.04,13000,0,0,0,0
0.11323,84:1,1177624,0.96,12000,0,0,0,0
0.11324,84:1,1177016,1.04,13000,0,0,0,0
0.11325,84:1,1175408,0.96,12000,0,0,0,0
0.11326,84:1,1174408,1.04,13000,0,0,0,0
0.11327,84:1,1171408,0.96,12000,0,0,0,0
0.11328,84:1,1168408,1.04,13000,0,0,0,0
0.11329,84:1,1168408,0.96,12000,0,0,0,0
0.1133,84:1,1165408,1.04,13000,0,0,0,0
0.11331,84:1,1163408,0.96,12000,0,0,0,0
0.11332,84:1,1163408,1.04,13000,0,0,0,0
0.11333,84:1,1162192,0.96,12000,0,0,0,0
0.11334,84:1,1156152,1.04,13000,0,0,0,0
0.11335,84:1,1151328,0.96,12000,0,0,0,0
0.11336,84:1,1147504,1.04,13000,0,0,0,0
0.11337,84:1,1139288,1.04,13000,0,0,0,0
0.11338,84:1,1132072,0.96,12000,0,0,0,0
0.11339,84:1,1123856,1.04,13000,0,0,0,0
0.1134,84:1,1116856,0.96,12000,0,0,0,0
0.11341,84:1,1106856,1.04,13000,0,0,0,0
0.11342,84:1,1099856,0.96,12000,0,0,0,0
0.11343,84:1,1089640,1.04,13000,0,0,0,0
0.11344,84:1,1080424,0.96,12000,0,0,0,0
0.11345,84:1,1069208,1.04,13000,0,0,0,0
0.11346,84:1,1059384,0.96,12000,0,0,0,0
0.11347,84:1,1049560,1.04,13000,0,0,0,0
