time_ns,event,node_id,ifindex,link_id,packet_uid,size_bytes
2103963094,TX_END,84,1,0,2130319,1048
2103963313,TX_BEGIN,84,1,0,2130321,1048
2103964151,TX_END,84,1,0,2130321,1048
2103964370,TX_BEGIN,84,1,0,2130323,1048
2103965208,TX_END,84,1,0,2130323,1048
2103965427,TX_BEGIN,84,1,0,2130325,1048
2103966265,TX_END,84,1,0,2130325,1048
2103966484,TX_BEGIN,84,1,0,2130327,1048
2103967322,TX_END,84,1,0,2130327,1048
2103967541,TX_BEGIN,84,1,0,2130329,1048
2103968379,TX_END,84,1,0,2130329,1048
2103968598,TX_BEGIN,84,1,0,2130331,1048
2103969436,TX_END,84,1,0,2130331,1048
2103969655,TX_BEGIN,84,1,0,2130333,1048
2103970493,TX_END,84,1,0,2130333,1048
2103970712,TX_BEGIN,84,1,0,2130335,1048
2103971550,TX_END,84,1,0,2130335,1048
2103971769,TX_BEGIN,84,1,0,2130337,1048
2103972607,TX_END,84,1,0,2130337,1048
2103972826,TX_BEGIN,84,1,0,2130339,1048
2103973664,TX_END,84,1,0,2130339,1048
2103973883,TX_BEGIN,84,1,0,2130341,1048
2103974721,TX_END,84,1,0,2130341,1048
2103974940,TX_BEGIN,84,1,0,2130343,1048
2103975778,TX_END,84,1,0,2130343,1048
2103975997,TX_BEGIN,84,1,0,2130345,1048
2103976835,TX_END,84,1,0,2130345,1048
2103977054,TX_BEGIN,84,1,0,2130347,1048
2103977892,TX_END,84,1,0,2130347,1048
2103978111,TX_BEGIN,84,1,0,2130349,1048
2103978949,TX_END,84,1,0,2130349,1048
2103979168,TX_BEGIN,84,1,0,2130351,1048
2103980006,TX_END,84,1,0,2130351,1048
2103980225,TX_BEGIN,84,1,0,2130353,1048
2103981063,TX_END,84,1,0,2130353,1048
2103981282,TX_BEGIN,84,1,0,2130355,1048
2103982120,TX_END,84,1,0,2130355,1048
2103982339,TX_BEGIN,84,1,0,2130357,1048
2103983177,TX_END,84,1,0,2130357,1048
2103983396,TX_BEGIN,84,1,0,2130359,1048
2103984234,TX_END,84,1,0,2130359,1048
2103984453,TX_BEGIN,84,1,0,2130361,1048
2103985291,TX_END,84,1,0,2130361,1048
2103985510,TX_BEGIN,84,1,0,2130363,1048
2103986348,TX_END,84,1,0,2130363,1048
2103986567,TX_BEGIN,84,1,0,2130365,1048
2103987405,TX_END,84,1,0,2130365,1048
2103987624,TX_BEGIN,84,1,0,2130367,1048
2103988462,TX_END,84,1,0,2130367,1048
2103988681,TX_BEGIN,84,1,0,2130369,1048
2103989519,TX_END,84,1,0,2130369,1048
2103989738,TX_BEGIN,84,1,0,2130371,1048
2103990576,TX_END,84,1,0,2130371,1048
2103990795,TX_BEGIN,84,1,0,2130373,1048
2103991633,TX_END,84,1,0,2130373,1048
2103991852,TX_BEGIN,84,1,0,2130375,1048
2103992690,TX_END,84,1,0,2130375,1048
2103992909,TX_BEGIN,84,1,0,2130377,1048
2103993747,TX_END,84,1,0,2130377,1048
2103993966,TX_BEGIN,84,1,0,2130379,1048
2103994804,TX_END,84,1,0,2130379,1048
2103995023,TX_BEGIN,84,1,0,2130381,1048
2103995861,TX_END,84,1,0,2130381,1048
2103996080,TX_BEGIN,84,1,0,2130383,1048
