flow_id,round_id,total_feedback,int_hop_count,actionable_feedback,late_same_round_feedback,stale_older_round_feedback,feedback_during_off,live_rate_changes_during_off,first_feedback_time,last_feedback_time,mean_remaining_unsent_ratio,min_remaining_unsent_ratio,mean_remaining_unsent_bytes,min_remaining_unsent_bytes,max_normalized_load,mean_normalized_load,first_rate_before,last_rate_after,feedback_changed_live_rate,late_action_ratio,actionable_byte_ratio
47,0,4406,3,4378,28,0,28,1,0.020013714,0.026221692,0.442418272,0.000000000,1855636.728,0,18.973929169,6.823733262,400000000000,19264501282,2049,0.000226963,0.442418272
48,0,4406,3,4396,10,0,10,1,0.020013840,0.025816131,0.435222473,0.000000000,1825455.361,0,18.478906356,5.350654420,400000000000,6358081789,2802,0.000226963,0.435222473
49,0,4406,3,4388,18,0,18,10,0.020012874,0.026126985,0.442721427,0.000000000,1856908.254,0,18.455355061,6.014066184,400000000000,13996044842,2675,0.002269632,0.442721427
50,0,4406,3,4385,21,0,21,1,0.020013987,0.026147298,0.442800949,0.000000000,1857241.790,0,18.451765576,6.006652193,400000000000,14260224598,2670,0.000226963,0.442800949
51,0,4406,3,4390,16,0,16,11,0.020015100,0.026123460,0.442845659,0.000000000,1857429.318,0,18.478964507,6.014501563,400000000000,14142458740,2695,0.002496596,0.442845659
52,0,4406,3,4397,9,0,9,9,0.020012937,0.025720837,0.433514744,0.000000000,1818292.626,0,18.469749035,5.780435414,400000000000,6106181982,2570,0.002042669,0.433514744
53,0,4406,3,4391,15,0,15,1,0.020012979,0.026096123,0.440940782,0.000000000,1849439.688,0,18.447861170,6.164224170,400000000000,10134139138,2640,0.000226963,0.440940782
54,0,4406,3,4379,27,0,27,5,0.020012811,0.026213300,0.442423979,0.000000000,1855660.665,0,19.131975472,6.829754941,400000000000,18928857037,2039,0.001134816,0.442423979
55,0,4406,3,4379,27,0,27,1,0.020013819,0.026227358,0.442427224,0.000000000,1855674.277,0,18.966886334,6.848109419,400000000000,18316117230,2064,0.000226963,0.442427224
56,0,4406,3,4391,15,0,15,4,0.020014071,0.026066870,0.440679551,0.000000000,1848344.002,0,18.454709053,6.192372418,400000000000,10137169451,2675,0.000907853,0.440679551
57,0,4406,3,4393,13,0,13,1,0.020012958,0.026038800,0.444988283,0.000000000,1866416.134,0,18.487931819,6.217314792,400000000000,8592341886,2647,0.000226963,0.444988283
58,0,4406,3,4390,16,0,16,1,0.020013063,0.026072656,0.446450102,0.000000000,1872547.450,0,18.457537383,6.377487838,400000000000,10423075710,2698,0.000226963,0.446450102
59,0,4406,3,4397,9,0,9,1,0.020013021,0.025759412,0.433489348,0.000000000,1818186.104,0,18.467558029,5.783862496,400000000000,6160198265,2554,0.000226963,0.433489348
60,0,4406,3,4385,21,0,21,1,0.020012916,0.026183034,0.445545918,0.000000000,1868755.027,0,18.357743675,6.762308349,400000000000,14200464999,2061,0.000226963,0.445545918
61,0,4406,3,4382,24,0,24,1,0.020013000,0.026244366,0.442422091,0.000000000,1855652.744,0,19.019134521,6.826178314,400000000000,16491649278,2012,0.000226963,0.442422091
62,0,4406,3,4382,24,0,24,1,0.020014008,0.026237374,0.442438575,0.000000000,1855721.887,0,18.944276195,6.850734326,400000000000,16533773012,2043,0.000226963,0.442438575
63,0,4406,3,4393,13,0,13,1,0.020013042,0.026029242,0.444894011,0.000000000,1866020.728,0,18.423877978,6.213062568,400000000000,8832040274,2665,0.000226963,0.444894011
64,0,4406,3,4391,15,0,15,1,0.020013168,0.026096593,0.446348349,0.000000000,1872120.666,0,18.424792660,6.373891407,400000000000,10253726405,2685,0.000226963,0.446348349
