time_ns,epoch,batch_id,flow_id,phase_before,phase_after,old_rate_bps,target_rate_bps,new_rate_bps,reason,root_id,feedback_age_ns,credit_remaining_bytes,protection_floor_bps,rebalance_start_ns,rebalance_end_ns,stale_feedback,capacity_valid,role,owner_before,owner_after,side,actuation_kind,applied_rate_after_bps
10470001,2094,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10475001,2095,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10480001,2096,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10485001,2097,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10490001,2098,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10495001,2099,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10500001,2100,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10505001,2101,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10510001,2102,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10515001,2103,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10520001,2104,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10525001,2105,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10530001,2106,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10535001,2107,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10540001,2108,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10545001,2109,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10550001,2110,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10555001,2111,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10560001,2112,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10565001,2113,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10570001,2114,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10575001,2115,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10580001,2116,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10585001,2117,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10590001,2118,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10595001,2119,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10600001,2120,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10605001,2121,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10610001,2122,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10615001,2123,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10620001,2124,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10625001,2125,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10630001,2126,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10635001,2127,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10640001,2128,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10645001,2129,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10650001,2130,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10655001,2131,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10660001,2132,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10665001,2133,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10670001,2134,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10675001,2135,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10680001,2136,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10685001,2137,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10690001,2138,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10695001,2139,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10700001,2140,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10705001,2141,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10710001,2142,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10715001,2143,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10720001,2144,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10725001,2145,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
