scenario_tag,algorithm,incast_n,incast_done,completion_rate_pct,fct_mean_ms,fct_p50_ms,fct_p95_ms,fct_p99_ms,fct_min_ms,fct_max_ms,cct_ms,incast_agg_gbps,incast_fairness_jain,bg0_completed,bg0_fct_ms,bg0_retx_bytes,bg0_retx_events,bg0_service_debt_bytes,bg0_before_gbps,bg0_during_gbps,bg0_after_gbps,bg0_retention_pct,bg0_fixed_window_s,bg0_fw_during_gbps,bg0_fw_retention_pct,bg0_fw_min_gbps,bg0_fw_drop_pct,bg0_fw_bytes_delivered,bg0_observation_end_s,bg0_bg_completed_before_end,bg0_min_gbps,bg0_drop_pct,bg0_recovery90_ms,bg0_recovery90_ms_never_dipped,bg0_recovery95_ms,bg0_recovery95_ms_never_dipped,bg_n_flows,bg_before_gbps,bg_during_gbps,bg_after_gbps,bg_min_gbps,bg_retention_pct,bg_drop_pct,bg_recovery90_ms,bg_recovery95_ms,bg_service_debt_bytes,bg_service_debt_window_s,bg_retx_bytes,bg_retx_events,bg_completed,bg_fct_ms,bg_slowdown,bg_fixed_window_s,bg_fw_during_gbps,bg_fw_bytes_delivered,bg_fw_min_gbps,bg_fw_retention_pct,bg_fw_drop_pct,bg_recovery90_ms_never_dipped,bg_recovery95_ms_never_dipped,link_84_1_queue_mean_bytes,link_84_1_queue_p95_bytes,link_84_1_queue_p99_bytes,link_84_1_queue_peak_bytes,link_84_1_over_qmin_pct,link_84_1_over_qmax_pct,link_84_1_util_mean,link_84_1_ecn_marks,link_84_1_pfc_events,link_84_1_pfc_paused_samples,link_84_1_pfc_pause_total_ns,link_84_1_queue_recovery_ms,link_84_1_queue_final_bytes,link_84_1_queue_drained,link_84_1_oversub_peak_bytes,link_84_1_oversub_peak_ratio,link_84_1_oversub_duration_ms,link_84_1_oversub_longest_run_ms,link_84_1_qmax_exceed_ratio,n_links,queue_mean_bytes,queue_p95_bytes,queue_p99_bytes,queue_peak_bytes,over_qmin_pct,over_qmax_pct,util_mean,ecn_marks,pfc_events,pfc_paused_samples,pfc_pause_total_ns,queue_recovery_ms,queue_final_bytes,queue_drained,oversub_peak_bytes,oversub_peak_ratio,oversub_duration_ms,oversub_longest_run_ms,qmax_exceed_ratio,qmax_bytes,qmin_bytes,recovery_rtts,retx_bytes_total,retx_events_total,total_acked_bytes,drops
s3,dcqcn,64,64,100.0,54.27845368749998,54.3648925,57.7412314,58.25931287,47.76417,58.372997000000005,158.37299700000028,9.197247693141371,0.9976999591708391,0,nan,0,0,2150522000.0,7.640881635265409,4.909067946451122,7.584570943075618,64.2474020771898,0.15,5.146979597279629,67.36106961171173,0.09696969696969242,98.73090957825936,96493000.0,2.99998,0,0.09696969696969242,98.73090957825936,173.99999999999193,0,175.99999999999173,0,1,7.640881635265409,4.909067946451122,7.584570943075618,0.09696969696969242,64.2474020771898,98.73090957825936,173.99999999999193,175.99999999999173,2150522000.0,3.0,0,0,0,nan,nan,0.15,5.146979597279629,96493000.0,0.09696969696969242,67.36106961171173,98.73090957825936,0,0,354025.498674075,1256552.0,1274368.0,1279608.0,35.47796438944311,34.37934082586185,0.8697121959840668,6677.0,0,0,0,53.32999999999988,0.0,1,879608.0,3.19902,54.45,54.44,3.19902,1,354025.498674075,1256552.0,1274368.0,1279608.0,35.47796438944311,34.37934082586185,0.8697121959840668,6677.0,0,0,0,53.32999999999988,0.0,1,879608.0,3.19902,54.45,54.44,3.19902,400000,200000.0,3508.5526315789393,0,0,1916605864.0,0
s3,dctcp,64,64,100.0,56.583772468750006,56.7733045,57.20020805000001,57.24287111,54.877114,57.247409,157.247409,9.3780822814182,0.9998975801063361,0,nan,0,0,2143268000.0,7.640881635265409,4.9201729839735355,7.640962321792261,64.3927391999527,0.15,5.148153087078269,67.37642765355369,0.1494949494949425,98.04348559981652,96515000.0,2.99998,0,0.1494949494949425,98.04348559981652,157.9999999999937,0,157.9999999999937,0,1,7.640881635265409,4.9201729839735355,7.640962321792261,0.1494949494949425,64.3927391999527,98.04348559981652,157.9999999999937,157.9999999999937,2143268000.0,3.0,0,0,0,nan,nan,0.15,5.148153087078269,96515000.0,0.1494949494949425,67.37642765355369,98.04348559981652,0,0,436959.85958664544,1257600.0,1275416.0,1276464.0,36.22893481717011,36.05087440381558,0.8734507548486892,9026.0,0,0,0,56.45999999999995,0.0,1,876464.0,3.19116,56.69,56.69,3.19116,1,436959.85958664544,1257600.0,1275416.0,1276464.0,36.22893481717011,36.05087440381558,0.8734507548486892,9026.0,0,0,0,56.45999999999995,0.0,1,876464.0,3.19116,56.69,56.69,3.19116,400000,200000.0,3714.473684210523,0,0,1923859864.0,0
s3,timely,64,64,100.0,57.27448468749999,57.352847499999996,57.82912845,57.85799697,55.545477000000005,57.865671,157.86567100000016,9.27788277094375,0.9999283366702104,0,nan,0,0,2158134000.0,7.582943317732708,4.861573546180163,7.581819339772848,64.11195946581029,0.15,5.107187625016661,67.35099302501057,0.09292929292928859,98.77449574610463,95747000.0,2.99998,0,0.09292929292928859,98.77449574610463,157.9999999999937,0,157.9999999999937,0,1,7.582943317732708,4.861573546180163,7.581819339772848,0.09292929292928859,64.11195946581029,98.77449574610463,157.9999999999937,157.9999999999937,2158134000.0,3.0,0,0,0,nan,nan,0.15,5.107187625016661,95747000.0,0.09292929292928859,67.35099302501057,98.77449574610463,0,0,110189.60765186546,1241856.0,1277760.0,1278816.0,9.457148286564895,7.392158104769747,0.8725103338189378,1642.0,0,0,0,12.659999999999894,0.0,1,878816.0,3.19704,11.67,10.78,3.19704,1,110189.60765186546,1241856.0,1277760.0,1278816.0,9.457148286564895,7.392158104769747,0.8725103338189378,1642.0,0,0,0,12.659999999999894,0.0,1,878816.0,3.19704,11.67,10.78,3.19704,400000,200000.0,832.8947368420983,0,0,1908993864.0,0
s3,hpcc,64,64,100.0,59.733865828125005,59.857803000000004,60.18076094999999,60.264013739999996,58.390165,60.326699999999995,160.32670000000016,8.899391347446478,0.9999448546658121,0,nan,0,0,2217710000.0,7.346197847913916,4.639870259481037,7.346192158699077,63.16015924889106,0.15,4.944072543005727,67.30110793857376,0.11717171717171168,98.40500188536326,92689000.0,2.99998,0,0.11717171717171168,98.40500188536326,161.99999999999326,0,161.99999999999326,0,1,7.346197847913916,4.639870259481037,7.346192158699077,0.11717171717171168,63.16015924889106,98.40500188536326,161.99999999999326,161.99999999999326,2217710000.0,3.0,0,0,0,nan,nan,0.15,4.944072543005727,92689000.0,0.11717171717171168,67.30110793857376,98.40500188536326,0,0,22884.742343915674,24815.599999999846,912373.6000000009,1296010.0,2.139337616166656,1.821243684899894,0.8707659651966169,288.0,0,0,0,3.049999999999997,0.0,1,896010.0,3.240025,2.92,2.92,3.240025,1,22884.742343915674,24815.599999999846,912373.6000000009,1296010.0,2.139337616166656,1.821243684899894,0.8707659651966169,288.0,0,0,0,3.049999999999997,0.0,1,896010.0,3.240025,2.92,2.92,3.240025,400000,200000.0,200.65789473684194,0,0,1849416864.0,0
s3,cbapsba,64,64,100.0,87.89970537500001,87.89986250000001,87.91555944999999,87.91694263,87.882468,87.91725699999999,187.91725700000006,6.106547568926089,0.9999999867079172,0,nan,0,0,2145294000.0,7.640881635265409,5.595486961149549,7.575677038791309,73.23090748225138,0.15,6.18418455794105,80.9354843215843,3.2080808080806578,58.01425854741402,115943000.0,2.99998,0,3.1999999999998496,58.120016082559076,187.9999999999904,0,187.9999999999904,0,1,7.640881635265409,5.595486961149549,7.575677038791309,3.1999999999998496,73.23090748225138,58.120016082559076,187.9999999999904,187.9999999999904,2145294000.0,3.0,0,0,0,nan,nan,0.15,6.18418455794105,115943000.0,3.2080808080806578,80.9354843215843,58.01425854741402,0,0,12936.709663686675,50304.0,53448.0,56592.0,0.0,0.0,0.8857902426561587,0,0,0,0,0.0,0.0,1,0.0,0.14148,0.0,0.0,0.14148,1,12936.709663686675,50304.0,53448.0,56592.0,0.0,0.0,0.8857902426561587,0,0,0,0,0.0,0.0,1,0.0,0.14148,0.0,0.0,0.14148,400000,200000.0,0.0,0,0,1921833864.0,0
s6,dcqcn,60,60,100.0,6.778792100000001,6.804183500000001,6.851621649999999,6.8528207299999995,6.5317099999999995,6.852911,106.85291100000028,18.361411668704967,0.9998719052303952,0,nan,0,0,2573837000.0,7.640881635265409,7.174541370273303,7.6369240752757985,93.89677412564829,0.15,7.295319375916778,95.47745566750127,0.3151515151515004,95.87545612934294,136788000.0,2.49998,0,0.3151515151515004,95.87545612934294,107.9999999999992,0,109.99999999999899,0,2,15.281763270530819,14.348783227255705,15.150356911096697,0.30707070707069267,93.8928542469589,95.981213664488,123.99999999999744,125.99999999999723,5155286000.0,2.5,0,0,0,nan,nan,0.15,14.184664621949572,265965000.0,0.30707070707069267,90.16427128298906,95.981213664488,0,0,36260.05465094516,590024.0,598408.0,599456.0,6.213737600598915,5.979786636720943,0.8135563091895393,237.0,0,0,0,6.429999999999936,0.0,1,199456.0,1.49864,6.390000000000001,6.390000000000001,1.49864,2,36474.46228710462,597360.0,599456.0,599456.0,6.213737600598915,6.0078607523863,0.8135563091895393,461.0,0,0,0,6.489999999999885,0.0,1,199456.0,1.49864,6.42,6.42,1.49864,400000,200000.0,426.97368421051874,0,0,2860480640.0,0
s6,dctcp,60,60,100.0,6.775356300000002,6.7885275,6.853297649999999,6.85365873,6.549308,6.8537490000000005,106.85374899999988,18.359166640039444,0.9998617264515268,0,nan,0,0,2573582000.0,7.640881635265409,7.174541370273303,7.641060999351074,93.89677412564829,0.15,7.3089211894919215,95.65546933430599,0.3111111111110965,95.92833489691547,137044000.0,2.49998,0,0.3111111111110965,95.92833489691547,107.9999999999992,0,107.9999999999992,0,2,15.281763270530819,14.348783227255705,15.28210577547048,0.30707070707069267,93.8928542469589,95.981213664488,107.9999999999992,107.9999999999992,5147165000.0,2.5,0,0,0,nan,nan,0.15,14.61778903853845,274087000.0,0.30707070707069267,95.65477124149498,95.981213664488,0,0,36311.371139809096,597360.0,598408.0,599456.0,6.213737600598915,5.979786636720943,0.8135563091895389,238.0,0,0,0,6.429999999999936,0.0,1,199456.0,1.49864,6.390000000000001,6.390000000000001,1.49864,2,36476.36159460977,597360.0,599456.0,599456.0,6.213737600598915,6.0078607523863,0.813556309189539,462.0,0,0,0,6.489999999999885,0.0,1,199456.0,1.49864,6.42,6.42,1.49864,400000,200000.0,426.97368421051874,0,0,2868601640.0,0
s6,timely,60,60,100.0,6.989988016666668,7.774895,8.19903095,8.22654809,4.748691999999999,8.239557,108.2395570000001,15.271345291985948,0.9658848122973726,0,nan,0,0,2585803000.0,7.582943317732708,7.035446313065964,7.580347338024159,92.77988794421789,0.15,7.1786104813975085,94.66786418685648,0.2545454545454426,96.64318400019965,134600000.0,2.49998,0,0.2545454545454426,96.64318400019965,109.99999999999899,0,109.99999999999899,0,2,15.165886635465416,14.079615597856193,15.163216333834953,0.14545454545453865,92.77988794421789,98.0818194286855,109.99999999999899,109.99999999999899,5171321000.0,2.5,0,0,0,nan,nan,0.15,14.372422989731941,269485000.0,0.14545454545453865,94.66786418685648,98.0818194286855,0,0,10648.642276422765,11616.0,360909.12000000046,580800.0,2.1433850702143387,0.6836659275683666,0.8042653067258085,22.0,0,0,0,2.1100000000000563,0.0,1,180800.0,1.452,0.74,0.74,1.452,2,14267.125646711012,19905.600000000384,383328.0,591360.0,3.3074648928307466,0.7575757575757576,0.8047577531411819,42.0,0,0,0,3.449999999999953,0.0,1,191360.0,1.4784,0.8200000000000001,0.8200000000000001,1.4784,400000,200000.0,226.97368421052323,0,0,2844445640.0,0
s6,hpcc,60,60,100.0,7.128625550000001,7.1664365,7.29597285,7.3146021800000005,6.68879,7.325398000000001,107.32539799999996,17.177103551233966,0.9995336037938144,0,nan,0,0,2629053000.0,7.346197847913916,6.866716362281023,7.346183825917509,93.47306599196685,0.15,7.002693692492322,95.32405521151138,0.2545454545454426,96.53500409578916,131301000.0,2.49998,0,0.2545454545454426,96.53500409578916,107.9999999999992,0,107.9999999999992,0,2,14.692395695827832,13.732463660081986,14.692367651835019,0.2545454545454426,93.45987461732487,96.53500409578916,107.9999999999992,107.9999999999992,5258113000.0,2.5,0,0,0,nan,nan,0.15,14.005014001866895,262596000.0,0.2545454545454426,95.31897253982898,96.53500409578916,0,0,4193.3323395136495,2180.0,66184.80000000127,568980.0,0.8385353582409392,0.5683406316966365,0.8123699245319131,9.0,0,0,0,0.6800000000000139,0.0,1,168980.0,1.42245,0.61,0.61,1.42245,2,4444.987980993198,3270.0,86589.60000000254,598410.0,0.8478524177769496,0.5962918103046678,0.8123211776764208,25.0,0,0,0,0.7700000000001594,0.0,1,198410.0,1.496025,0.64,0.64,1.496025,400000,200000.0,50.65789473685259,0,0,2757653640.0,0
s6,cbapsba,60,60,100.0,11.091171766666665,11.0908645,11.093768,11.093921,11.088646,11.093921,111.09392100000015,11.342168382125607,0.9999999771929069,0,nan,0,0,2577026000.0,7.640881635265409,7.263881886928321,7.568532155130094,95.06601768836335,0.15,7.342418989198549,96.09387161961327,3.8383838383836584,49.76517080609991,137671000.0,2.49998,0,3.8383838383836584,49.76517080609991,111.99999999999876,0,111.99999999999876,0,2,15.281763270530819,14.527763773856641,15.137064310260188,3.8383838383836584,95.06601768836335,49.76517080609991,111.99999999999876,111.99999999999876,5154052000.0,2.5,0,0,0,nan,nan,0.15,14.684837978397098,275342000.0,3.8383838383836584,96.09387161961327,49.76517080609991,0,0,1372.0907290729074,13624.0,23056.0,28296.0,0.0,0.0,0.8206018937892975,0,0,0,0,0.0,0.0,1,0.0,0.07074,0.0,0.0,0.07074,2,1419.727092709271,14672.0,25152.0,30392.0,0.0,0.0,0.8206018937892975,0,0,0,0,0.0,0.0,1,0.0,0.07598,0.0,0.0,0.07598,400000,200000.0,0.0,0,0,2861714640.0,0
