# pg0 (INVALID: background on ECN-exempt queue 0) vs pg3 (corrected)
# ratio = pg0/pg3 for latency-like metrics; >1 means pg3 is better
scenario,algorithm,metric,pg0_invalid,pg3_corrected,ratio_or_delta
s3,dcqcn,queue_peak_bytes,1272272.000000,1279608.000000,7336.0000
s3,dcqcn,ecn_marks,9542.000000,6677.000000,-2865.0000
s3,dctcp,fct_mean_ms,281.561371,56.583772,4.9760
s3,dctcp,fct_p99_ms,281.740683,57.242871,4.9218
s3,dctcp,cct_ms,381.742581,157.247409,2.4277
s3,dctcp,incast_agg_gbps,1.905537,9.378082,7.4725
s3,dctcp,bg_retention_pct,99.999789,64.392739,-35.6070
s3,dctcp,bg_min_gbps,7.636364,0.149495,-7.4869
s3,dctcp,queue_peak_bytes,1272272.000000,1276464.000000,4192.0000
s3,dctcp,ecn_marks,9542.000000,9026.000000,-516.0000
s3,timely,fct_mean_ms,283.031280,57.274485,4.9417
s3,timely,fct_p99_ms,283.216214,57.857997,4.8950
s3,timely,cct_ms,383.217596,157.865671,2.4275
s3,timely,incast_agg_gbps,1.895613,9.277883,7.3823
s3,timely,bg_retention_pct,99.999729,64.111959,-35.8878
s3,timely,bg_min_gbps,7.579798,0.092929,-7.4869
s3,timely,queue_peak_bytes,1280928.000000,1278816.000000,-2112.0000
s3,timely,ecn_marks,9655.000000,1642.000000,-8013.0000
s3,hpcc,fct_mean_ms,59.588560,59.733866,0.9976
s3,hpcc,fct_p99_ms,60.130945,60.264014,0.9978
s3,hpcc,cct_ms,160.134218,160.326700,0.9988
s3,hpcc,incast_agg_gbps,8.927877,8.899391,-0.0285
s3,hpcc,bg_retention_pct,63.113909,63.160159,0.0462
s3,hpcc,bg_min_gbps,0.092929,0.117172,0.0242
s3,hpcc,queue_peak_bytes,1291650.000000,1296010.000000,4360.0000
s3,hpcc,ecn_marks,274.000000,288.000000,14.0000
s3,cbapsba,fct_mean_ms,88.275528,87.899705,1.0043
s3,cbapsba,fct_p99_ms,88.295083,87.916943,1.0043
s3,cbapsba,cct_ms,188.295397,187.917257,1.0020
s3,cbapsba,incast_agg_gbps,6.080395,6.106548,0.0262
s3,cbapsba,bg_retention_pct,74.379345,73.230907,-1.1484
s3,cbapsba,bg_min_gbps,3.462626,3.200000,-0.2626
s3,cbapsba,queue_peak_bytes,346888.000000,56592.000000,-290296.0000
s3,cbapsba,ecn_marks,0.000000,0.000000,0.0000
s6,dcqcn,fct_mean_ms,32.685855,6.778792,4.8218
s6,dcqcn,fct_p99_ms,33.033707,6.852821,4.8205
s6,dcqcn,cct_ms,133.033707,106.852911,1.2450
s6,dcqcn,incast_agg_gbps,3.809113,18.361412,14.5523
s6,dcqcn,bg_retention_pct,99.999402,93.892854,-6.1065
s6,dcqcn,bg_min_gbps,7.636364,0.307071,-7.3293
s6,dcqcn,queue_peak_bytes,595264.000000,599456.000000,4192.0000
s6,dcqcn,ecn_marks,451.000000,461.000000,10.0000
s6,dctcp,fct_mean_ms,32.685855,6.775356,4.8242
s6,dctcp,fct_p99_ms,33.033707,6.853659,4.8199
s6,dctcp,cct_ms,133.033707,106.853749,1.2450
s6,dctcp,incast_agg_gbps,3.809113,18.359167,14.5501
s6,dctcp,bg_retention_pct,99.999402,93.892854,-6.1065
s6,dctcp,bg_min_gbps,7.636364,0.307071,-7.3293
s6,dctcp,queue_peak_bytes,595264.000000,599456.000000,4192.0000
s6,dctcp,ecn_marks,451.000000,462.000000,11.0000
s6,timely,fct_mean_ms,32.916772,6.989988,4.7091
s6,timely,fct_p99_ms,33.206530,8.226548,4.0365
s6,timely,cct_ms,133.206530,108.239557,1.2307
s6,timely,incast_agg_gbps,3.789288,15.271345,11.4821
s6,timely,bg_retention_pct,99.999203,92.779888,-7.2193
s6,timely,bg_min_gbps,7.579798,0.145455,-7.4343
s6,timely,queue_peak_bytes,598752.000000,591360.000000,-7392.0000
s6,timely,ecn_marks,454.000000,42.000000,-412.0000
s6,hpcc,fct_mean_ms,7.108757,7.128626,0.9972
s6,hpcc,fct_p99_ms,7.292748,7.314602,0.9970
s6,hpcc,cct_ms,107.293464,107.325398,0.9997
s6,hpcc,incast_agg_gbps,17.252312,17.177104,-0.0752
s6,hpcc,bg_retention_pct,93.463254,93.459875,-0.0034
s6,hpcc,bg_min_gbps,0.242424,0.254545,0.0121
s6,hpcc,queue_peak_bytes,591870.000000,598410.000000,6540.0000
s6,hpcc,ecn_marks,24.000000,25.000000,1.0000
s6,cbapsba,fct_mean_ms,11.093183,11.091172,1.0002
s6,cbapsba,fct_p99_ms,11.097273,11.093921,1.0003
s6,cbapsba,cct_ms,111.097273,111.093921,1.0000
s6,cbapsba,incast_agg_gbps,11.338742,11.342168,0.0034
s6,cbapsba,bg_retention_pct,95.069788,95.066018,-0.0038
s6,cbapsba,bg_min_gbps,3.854545,3.838384,-0.0162
s6,cbapsba,queue_peak_bytes,30392.000000,30392.000000,0.0000
s6,cbapsba,ecn_marks,0.000000,0.000000,0.0000
s4,dcqcn,fct_mean_ms,1126.614641,54.328547,20.7371
s4,dcqcn,fct_p99_ms,1127.320690,58.680080,19.2113
