sample_time_ns,delivery_time_ns,link_id,switch_id,egress_port,capacity_bps,queue_bytes,previous_queue_bytes,input_bytes_delta,output_bytes_delta,ecn_marks_delta,pfc_events_delta,pause_duration_delta_ns,arrival_rate_bps,service_rate_bps,queue_gradient_bytes_per_second,port_state,root_id,root_reason,effective_capacity_bps,active_controlled_flows,pending_controlled_flows,local_paused,downstream_paused,stale
20130000,20135000,0,84,1,400000000000,118000,110000,258000,250000,0,0,0,4.128e+11,4e+11,1.6e+09,2,0,1,380800000000,64,0,0,0,0
20135000,20140000,0,84,1,400000000000,107000,118000,239000,250000,0,0,0,3.824e+11,4e+11,-2.2e+09,2,0,1,380800000000,64,0,0,0,0
20140000,20145000,0,84,1,400000000000,107000,107000,250000,250000,0,0,0,4e+11,4e+11,0,2,0,1,380800000000,64,0,0,0,0
20145000,20150000,0,84,1,400000000000,114000,107000,257000,250000,0,0,0,4.112e+11,4e+11,1.4e+09,2,0,1,380800000000,64,0,0,0,0
20150000,20155000,0,84,1,400000000000,107000,114000,243000,250000,0,0,0,3.888e+11,4e+11,-1.4e+09,2,0,1,380800000000,64,0,0,0,0
20155000,20160000,0,84,1,400000000000,104000,107000,247000,250000,0,0,0,3.952e+11,4e+11,-6e+08,2,0,1,380800000000,64,0,0,0,0
20160000,20165000,0,84,1,400000000000,107000,104000,253000,250000,0,0,0,4.048e+11,4e+11,6e+08,2,0,1,380800000000,64,0,0,0,0
20165000,20170000,0,84,1,400000000000,115000,107000,258000,250000,0,0,0,4.128e+11,4e+11,1.6e+09,2,0,1,380800000000,64,0,0,0,0
20170000,20175000,0,84,1,400000000000,121000,115000,256000,250000,0,0,0,4.096e+11,4e+11,1.2e+09,2,0,1,380800000000,64,0,0,0,0
20175000,20180000,0,84,1,400000000000,110000,121000,239000,250000,0,0,0,3.824e+11,4e+11,-2.2e+09,2,0,1,380800000000,64,0,0,0,0
20180000,20185000,0,84,1,400000000000,110000,110000,250000,250000,0,0,0,4e+11,4e+11,0,2,0,1,380800000000,64,0,0,0,0
20185000,20190000,0,84,1,400000000000,119000,110000,259000,250000,0,0,0,4.144e+11,4e+11,1.8e+09,2,0,1,380800000000,64,0,0,0,0
