time_ns,event,entity,role_or_zone_or_state,requested_or_target_bps,commanded_or_aggreq_bps,applied_bps,owner,queue_B_or_phase,Q_pred_B,boost_bps,drain_bps
996105000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996110000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996115000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996120000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996125000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996130000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996135000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996140000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996145000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996150000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996155000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996160000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996165000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996170000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996175000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996180000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996185000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996190000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996195000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996200000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996205000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996210000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996215000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996220000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996225000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996230000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996235000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996240000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996245000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996250000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996255000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996260000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996265000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996270000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996275000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996280000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996285000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996290000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996295000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996300000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996305000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996310000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996315000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996320000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996325000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996330000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996335000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996340000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996345000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996350000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996355000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996360000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996365000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996370000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996375000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996380000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996385000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996390000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996395000,epoch,link0,GREEN,0,0,0,,0,0,0,0
