run,scenario,algorithm,seed,config_path,result_path,exit_code,duration_s,config_sha,topology_sha,flow_sha,link_sha,path_sha,binary_sha,status,note
mx_s4_dctcp,S4,dctcp,2,simulation/experiment/scheme1_sba/mx_s4_dctcp.txt,simulation/experiment/scheme1_sba/mx_s4_dctcp_out/,0,3332,5bc6da33fac2f2336b97ee7426b6d686ecec9f1814f036a92ef057599af40f74,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s4_timely,S4,timely,2,simulation/experiment/scheme1_sba/mx_s4_timely.txt,simulation/experiment/scheme1_sba/mx_s4_timely_out/,0,3431,a2bffb7ed34281f0dc4e3cc05ea066698f5c0aeacfe243d5908de477fa0dc4d9,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s4_hpcc,S4,hpcc,2,simulation/experiment/scheme1_sba/mx_s4_hpcc.txt,simulation/experiment/scheme1_sba/mx_s4_hpcc_out/,0,3452,3bfa1e018b2ce2e4d680fb1ee4355136e2eb380ed00354106f8d774f30f5cf19,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s4_cbapsba,S4,cbapsba,2,simulation/experiment/scheme1_sba/mx_s4_cbapsba.txt,simulation/experiment/scheme1_sba/mx_s4_cbapsba_out/,0,3591,0bc486c9fedf3e5b0ce6b12529261f5c93adb4b353bae7c88ae738b07f41073e,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s5_dcqcn,S5,dcqcn,2,simulation/experiment/scheme1_sba/mx_s5_dcqcn.txt,simulation/experiment/scheme1_sba/mx_s5_dcqcn_out/,0,3859,f184755f951061277090c9ddce94d3dfb65e44604c6f711f6d89c1481d52ff81,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,a444b15858560d4dfcd666dc3c9875b36d87f5b988ae4ab1ee039d1ad2aedc9a,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s5_dctcp,S5,dctcp,2,simulation/experiment/scheme1_sba/mx_s5_dctcp.txt,simulation/experiment/scheme1_sba/mx_s5_dctcp_out/,0,3558,3119cda00a525b70bfcbfee37a97587a347a265c3fa5d2af083292ea97f8afa8,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,a444b15858560d4dfcd666dc3c9875b36d87f5b988ae4ab1ee039d1ad2aedc9a,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s5_timely,S5,timely,2,simulation/experiment/scheme1_sba/mx_s5_timely.txt,simulation/experiment/scheme1_sba/mx_s5_timely_out/,0,3686,1617c1bde1668a0136239048c8b563e02d4d07b30048b03f7c4b345bf65fe91c,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,a444b15858560d4dfcd666dc3c9875b36d87f5b988ae4ab1ee039d1ad2aedc9a,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s5_hpcc,S5,hpcc,2,simulation/experiment/scheme1_sba/mx_s5_hpcc.txt,simulation/experiment/scheme1_sba/mx_s5_hpcc_out/,0,3722,b11bb31165c2e916e1a571c594438cb07096a037ad8378d08c0031b5751f2814,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,a444b15858560d4dfcd666dc3c9875b36d87f5b988ae4ab1ee039d1ad2aedc9a,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
mx_s5_cbapsba,S5,cbapsba,2,simulation/experiment/scheme1_sba/mx_s5_cbapsba.txt,simulation/experiment/scheme1_sba/mx_s5_cbapsba_out/,0,3933,94df81f851f4553da9a8b2c4dae0e381ffd41778f92ba97384d191d195c56de9,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,a444b15858560d4dfcd666dc3c9875b36d87f5b988ae4ab1ee039d1ad2aedc9a,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,final matrix cell
scr8_d1,S3,dcqcn,2,simulation/experiment/scheme1_sba/scr8_d1.txt,simulation/experiment/scheme1_sba/scr8_d1_out/,0,1017,c1d64702a30a256265bb346740eda34d594c6a812e6048259750aac762ce894d,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,S3 screening baseline; byte-identical twin of mx_s3_dcqcn (label col aside)
scr8_d3,S3,cbapsba-d3,2,simulation/experiment/scheme1_sba/scr8_d3.txt,simulation/experiment/scheme1_sba/scr8_d3_out/,0,1059,c252e77071ad75790a013331dd8d5433243a9668aff42901b09b0ca3180af356,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,"cap+migration, boost=0"
scr8_b005,S3,cbapsba-screen,2,simulation/experiment/scheme1_sba/scr8_b005.txt,simulation/experiment/scheme1_sba/scr8_b005_out/,0,1119,9310d65f01c115c1edcb4db2081f8f111cb164486a8f9b7b168c1b2ee7c916f6,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,BMAX=0.005C
scr8_b010,S3,cbapsba-screen,2,simulation/experiment/scheme1_sba/scr8_b010.txt,simulation/experiment/scheme1_sba/scr8_b010_out/,0,1081,294da72984bbf385af9259f80159900012f302f6d796433a2f546431da1a35d1,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,BMAX=0.010C
scr8_b020,S3,cbapsba-screen,2,simulation/experiment/scheme1_sba/scr8_b020.txt,simulation/experiment/scheme1_sba/scr8_b020_out/,0,988,bb03a3162568956b94854932ac86fd8019c7ea2a1cbef816b85d93ce02fbb0a7,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,BMAX=0.020C
scr8_b040,S3,cbapsba-screen,2,simulation/experiment/scheme1_sba/scr8_b040.txt,simulation/experiment/scheme1_sba/scr8_b040_out/,0,1050,8ab98a40059759e96b46bcaeedb934944f0626b6214c2663fe7fed5fbf57080f,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,chosen candidate; twin of mx_s3_cbapsba
scr8_b080,S3,cbapsba-screen,2,simulation/experiment/scheme1_sba/scr8_b080.txt,simulation/experiment/scheme1_sba/scr8_b080_out/,0,998,5cead1a23bb911afe9b3dfac0e83e8788ede000184d86bb85f428f089f485802,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,VALID,BMAX=0.080C
scr7_b040,S3,cbapsba-screen,2,simulation/experiment/scheme1_sba/scr7_b040.txt,simulation/experiment/scheme1_sba/scr7_b040_out/,0,1045,ede9fb59b33b436615ceda68c018e14f202559baaf73b3d02e29fd40d8afaa4e,6091d5ec28c391c0c8ec79dcaf035d7deb44c2dd57e4c357dffe6bafe8c4fff8,6b922c67e56c04aa32f67078c89bd8a0a0fafceae58f078bfa272cc8223ada0b,70903775ca19226b39b3870a25fe748a2fc591bac3d5da4198c22df887e5b4df,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,5b5920f859fa86a269b5de4d9a7479226e27b03ecfc63c8356b100edb116c7e1,INVALID_LEDGER_GHOST_BIAS,pre-fix evidence for B080_ROOT_CAUSE.md; superseded by scr8_*
