time: 1990000000
81 2 4001
81 3 4001
81 4 4001
81 5 4001
81 6 4001
81 7 4001
81 8 4001
82 1 4001
82 2 4001
82 3 4001
82 4 4001
82 5 4001
82 6 4001
82 7 4001
82 8 4001
83 1 4001
83 2 4001
83 3 4001
83 4 4001
83 5 4001
83 6 4001
83 7 4001
83 8 4001
84 1 4001
84 2 4001
84 3 4001
84 4 4001
84 5 4001
84 6 4001
84 7 4001
84 8 4001
85 1 4001
85 2 4001
85 3 4001
85 4 4001
85 5 4001
85 6 4001
85 7 4001
85 8 4001
85 9 4001
85 10 4001
85 11 4001
85 12 4001
85 13 4001
85 14 4001
85 15 4001
85 16 4001
85 17 4001
86 1 4001
86 2 4001
86 3 4001
86 4 4001
86 5 4001
86 6 4001
86 7 4001
86 8 4001
86 9 4001
86 10 4001
86 11 4001
86 12 4001
86 13 4001
86 14 4001
86 15 4001
86 16 4001
86 17 4001
87 1 4001
87 2 4001
87 3 4001
87 4 4001
87 5 4001
87 6 4001
87 7 4001
87 8 4001
87 9 4001
87 10 4001
87 11 4001
87 12 4001
87 13 4001
87 14 4001
87 15 4001
87 16 4001
87 17 4001
88 1 4001
88 2 4001
88 3 4001
88 4 4001
88 5 4001
88 6 4001
88 7 4001
88 8 4001
88 9 4001
88 10 4001
88 11 4001
88 12 4001
88 13 4001
88 14 4001
88 15 4001
88 16 4001
88 17 4001
time: 1990500000
68 1 5001
68 2 5001
68 3 5001
68 4 5001
68 5 5001
68 6 5001
68 7 5001
68 8 5001
69 1 5001
69 2 5001
69 3 5001
69 4 5001
69 5 5001
69 6 5001
69 7 5001
69 8 5001
70 1 5001
70 2 5001
70 3 5001
70 4 5001
70 5 5001
70 6 5001
70 7 5001
70 8 5001
71 1 5001
71 2 5001
71 3 5001
71 4 5001
71 5 5001
71 6 5001
71 7 5001
71 8 5001
72 1 5001
72 2 5001
72 3 5001
72 4 5001
72 5 5001
72 6 5001
72 7 5001
72 8 5001
73 1 5001
73 2 5001
73 3 5001
73 4 5001
73 5 5001
73 6 5001
73 7 5001
73 8 5001
74 1 5001
74 2 5001
74 3 5001
74 4 5001
74 5 5001
74 6 5001
74 7 5001
74 8 5001
75 1 5001
75 2 5001
75 3 5001
75 4 5001
75 5 5001
75 6 5001
75 7 5001
75 8 5001
76 1 5001
76 2 5001
76 3 5001
76 4 5001
76 5 5001
76 6 5001
76 7 5001
76 8 5001
77 1 5001
77 2 5001
77 3 5001
77 4 5001
77 5 5001
77 6 5001
77 7 5001
77 8 5001
78 1 5001
78 2 5001
78 3 5001
78 4 5001
78 5 5001
78 6 5001
78 7 5001
78 8 5001
79 1 5001
79 2 5001
79 3 5001
79 4 5001
79 5 5001
79 6 5001
79 7 5001
79 8 5001
80 1 5001
80 2 5001
80 3 5001
80 4 5001
80 5 5001
80 6 5001
80 7 5001
80 8 5001
81 1 5001
81 2 5001
81 3 5001
81 4 5001
81 5 5001
81 6 5001
81 7 5001
81 8 5001
82 1 5001
82 2 5001
82 3 5001
82 4 5001
82 5 5001
82 6 5001
82 7 5001
82 8 5001
83 1 5001
83 2 5001
83 3 5001
83 4 5001
83 5 5001
83 6 5001
83 7 5001
83 8 5001
84 1 5001
84 2 5001
84 3 5001
84 4 5001
84 5 5001
84 6 5001
84 7 5001
84 8 5001
85 1 5001
85 2 5001
85 3 5001
85 4 5001
85 5 5001
85 6 5001
85 7 5001
85 8 5001
85 9 5001
85 10 5001
85 11 5001
85 12 5001
85 13 5001
85 14 5001
85 15 5001
85 16 5001
85 17 5001
86 1 5001
86 2 5001
86 3 5001
86 4 5001
86 5 5001
86 6 5001
86 7 5001
86 8 5001
86 9 5001
86 10 5001
86 11 5001
86 12 5001
86 13 5001
86 14 5001
86 15 5001
86 16 5001
86 17 5001
87 1 5001
87 2 5001
87 3 5001
87 4 5001
87 5 5001
87 6 5001
87 7 5001
87 8 5001
87 9 5001
87 10 5001
87 11 5001
87 12 5001
87 13 5001
87 14 5001
87 15 5001
87 16 5001
87 17 5001
88 1 5001
88 2 5001
88 3 5001
88 4 5001
88 5 5001
88 6 5001
88 7 5001
88 8 5001
88 9 5001
88 10 5001
88 11 5001
88 12 5001
88 13 5001
88 14 5001
88 15 5001
88 16 5001
88 17 5001
time: 1990600000
68 1 6001
68 2 6001
68 3 6001
68 4 6001
68 5 6001
68 6 6001
68 7 6001
68 8 6001
69 1 6001
69 2 6001
69 3 6001
69 4 6001
69 5 6001
69 6 6001
69 7 6001
69 8 6001
70 1 6001
70 2 6001
70 3 6001
70 4 6001
70 5 6001
70 6 6001
70 7 6001
70 8 6001
71 1 6001
71 2 6001
71 3 6001
71 4 6001
71 5 6001
71 6 6001
71 7 6001
71 8 6001
72 1 6001
72 2 6001
72 3 6001
72 4 6001
72 5 6001
72 6 6001
72 7 6001
72 8 6001
73 1 6001
73 2 6001
73 3 6001
73 4 6001
73 5 6001
73 6 6001
73 7 6001
73 8 6001
74 1 6001
74 2 6001
74 3 6001
74 4 6001
74 5 6001
74 6 6001
74 7 6001
74 8 6001
75 1 6001
75 2 6001
75 3 6001
75 4 6001
75 5 6001
75 6 6001
75 7 6001
75 8 6001
76 1 6001
76 2 6001
76 3 6001
76 4 6001
76 5 6001
76 6 6001
76 7 6001
76 8 6001
77 1 6001
77 2 6001
77 3 6001
77 4 6001
77 5 6001
77 6 6001
77 7 6001
77 8 6001
78 1 6001
78 2 6001
78 3 6001
78 4 6001
78 5 6001
78 6 6001
78 7 6001
78 8 6001
79 1 6001
79 2 6001
79 3 6001
79 4 6001
79 5 6001
79 6 6001
79 7 6001
79 8 6001
80 1 6001
80 2 6001
80 3 6001
80 4 6001
80 5 6001
80 6 6001
80 7 6001
80 8 6001
81 1 6001
81 2 6001
81 3 6001
81 4 6001
81 5 6001
81 6 6001
81 7 6001
81 8 6001
82 1 6001
82 2 6001
82 3 6001
82 4 6001
82 5 6001
82 6 6001
82 7 6001
82 8 6001
83 1 6001
83 2 6001
83 3 6001
83 4 6001
83 5 6001
83 6 6001
83 7 6001
83 8 6001
84 1 6001
84 2 6001
84 3 6001
84 4 6001
84 5 6001
84 6 6001
84 7 6001
84 8 6001
85 1 6001
85 2 6001
85 3 6001
85 4 6001
85 5 6001
85 6 6001
85 7 6001
85 8 6001
85 9 6001
85 10 6001
85 11 6001
85 12 6001
85 13 6001
85 14 6001
85 15 6001
85 16 6001
85 17 6001
86 1 6001
86 2 6001
86 3 6001
86 4 6001
86 5 6001
86 6 6001
86 7 6001
86 8 6001
86 9 6001
86 10 6001
86 11 6001
86 12 6001
86 13 6001
86 14 6001
86 15 6001
86 16 6001
86 17 6001
87 1 6001
87 2 6001
87 3 6001
87 4 6001
87 5 6001
87 6 6001
87 7 6001
87 8 6001
87 9 6001
87 10 6001
87 11 6001
87 12 6001
87 13 6001
87 14 6001
87 15 6001
87 16 6001
87 17 6001
88 1 6001
88 2 6001
88 3 6001
88 4 6001
88 5 6001
88 6 6001
88 7 6001
88 8 6001
88 9 6001
88 10 6001
88 11 6001
88 12 6001
88 13 6001
88 14 6001
88 15 6001
88 16 6001
88 17 6001
time: 1990700000
68 1 7001
68 2 7001
68 3 7001
68 4 7001
68 5 7001
68 6 7001
68 7 7001
68 8 7001
69 1 7001
69 2 7001
69 3 7001
69 4 7001
69 5 7001
69 6 7001
69 7 7001
69 8 7001
70 1 7001
70 2 7001
70 3 7001
70 4 7001
70 5 7001
70 6 7001
70 7 7001
70 8 7001
71 1 7001
71 2 7001
71 3 7001
71 4 7001
71 5 7001
71 6 7001
71 7 7001
71 8 7001
72 1 7001
72 2 7001
72 3 7001
72 4 7001
72 5 7001
72 6 7001
72 7 7001
72 8 7001
73 1 7001
73 2 7001
73 3 7001
73 4 7001
73 5 7001
73 6 7001
73 7 7001
73 8 7001
74 1 7001
74 2 7001
74 3 7001
74 4 7001
74 5 7001
74 6 7001
74 7 7001
74 8 7001
75 1 7001
75 2 7001
75 3 7001
75 4 7001
75 5 7001
75 6 7001
75 7 7001
75 8 7001
76 1 7001
76 2 7001
76 3 7001
76 4 7001
76 5 7001
76 6 7001
76 7 7001
76 8 7001
77 1 7001
77 2 7001
77 3 7001
77 4 7001
77 5 7001
77 6 7001
77 7 7001
77 8 7001
78 1 7001
78 2 7001
78 3 7001
78 4 7001
