flow_id,qp_id,total_rounds,direct_hpcc_updates,gated_late_updates,gated_stale_updates,rate_total_variation,minimum_rate,maximum_rate,mean_round_start_rate
50,0b003101-0b004001-10000-3,1,4406,0,0,104105868036.000,100000000,10000000000,10000000000.000
51,0b003201-0b004001-10000-3,1,4406,0,0,106630021062.000,100000000,10000000000,10000000000.000
52,0b003301-0b004001-10000-3,1,4406,0,0,104941589751.000,100000000,10000000000,10000000000.000
53,0b003401-0b004001-10000-3,1,4406,0,0,105938030032.000,100000000,10000000000,10000000000.000
54,0b003501-0b004001-10000-3,1,4406,0,0,105100031884.000,100000000,10000000000,10000000000.000
55,0b003601-0b004001-10000-3,1,4406,0,0,107110704729.000,100000000,10000000000,10000000000.000
56,0b003701-0b004001-10000-3,1,4406,0,0,105543507080.000,100000000,10000000000,10000000000.000
57,0b003801-0b004001-10000-3,1,4406,0,0,106446281559.000,100000000,10000000000,10000000000.000
58,0b003901-0b004001-10000-3,1,4406,0,0,104552143346.000,100000000,10000000000,10000000000.000
59,0b003a01-0b004001-10000-3,1,4406,0,0,101710506444.000,100000000,10000000000,10000000000.000
60,0b003b01-0b004001-10000-3,1,4406,0,0,104850330523.000,100000000,10000000000,10000000000.000
61,0b003c01-0b004001-10000-3,1,4406,0,0,103149964260.000,100000000,10000000000,10000000000.000
62,0b003d01-0b004001-10000-3,1,4406,0,0,107039353005.000,100000000,10000000000,10000000000.000
63,0b003e01-0b004001-10000-3,1,4406,0,0,104505729525.000,100000000,10000000000,10000000000.000
64,0b003f01-0b004001-10000-3,1,4406,0,0,101742086882.000,100000000,10000000000,10000000000.000
