time,flow_id,round_id,phase,snd_nxt,snd_una,released_bytes,current_rate,feedback_origin_round,feedback_class
0.5023,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50232,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50234,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50236,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50238,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5024,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50242,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50244,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50246,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50248,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5025,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50252,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50254,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50256,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50258,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5026,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50262,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50264,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50266,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50268,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5027,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50272,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50274,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50276,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50278,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5028,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50282,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50284,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50286,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50288,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5029,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50292,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50294,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50296,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50298,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.503,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50302,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50304,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50306,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50308,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.5031,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50312,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
0.50314,0,-1,WAIT_RELEASE,0,0,0,10000000000,-1,0
