sample_time_ns,delivery_time_ns,link_id,switch_id,egress_port,capacity_bps,queue_bytes,previous_queue_bytes,input_bytes_delta,output_bytes_delta,ecn_marks_delta,pfc_events_delta,pause_duration_delta_ns,arrival_rate_bps,service_rate_bps,queue_gradient_bytes_per_second,port_state,root_id,root_reason,effective_capacity_bps,active_controlled_flows,pending_controlled_flows,local_paused,downstream_paused,stale
2000105000,2000110000,0,84,1,10000000000,35632,41920,0,6288,0,0,0,0,1.00608e+10,-1.2576e+09,0,0,0,12040172134,64,0,0,0,0
2000110000,2000115000,0,84,1,10000000000,46112,35632,16768,6288,0,0,0,2.68288e+10,1.00608e+10,2.096e+09,4,0,0,12040172134,64,0,0,0,0
2000115000,2000120000,0,84,1,10000000000,64976,46112,25152,6288,0,0,0,4.02432e+10,1.00608e+10,3.7728e+09,2,0,1,12040172134,64,0,0,0,0
2000120000,2000125000,0,84,1,10000000000,79648,64976,20960,6288,0,0,0,3.3536e+10,1.00608e+10,2.9344e+09,2,0,1,12040172134,64,0,0,0,0
2000125000,2000130000,0,84,1,10000000000,77552,79648,4192,6288,0,0,0,6.7072e+09,1.00608e+10,-4.192e+08,0,0,0,12040172134,64,0,0,0,0
2000130000,2000135000,0,84,1,10000000000,71264,77552,0,6288,0,0,0,0,1.00608e+10,-1.2576e+09,0,0,0,12040172134,64,0,0,0,0
2000135000,2000140000,0,84,1,10000000000,64976,71264,0,6288,0,0,0,0,1.00608e+10,-1.2576e+09,0,0,0,12040172134,64,0,0,0,0
2000140000,2000145000,0,84,1,10000000000,58688,64976,0,6288,0,0,0,0,1.00608e+10,-1.2576e+09,0,0,0,12040172134,64,0,0,0,0
2000145000,2000150000,0,84,1,10000000000,52400,58688,0,6288,0,0,0,0,1.00608e+10,-1.2576e+09,0,0,0,12040172134,64,0,0,0,0
2000150000,2000155000,0,84,1,10000000000,46112,52400,0,6288,0,0,0,0,1.00608e+10,-1.2576e+09,0,0,0,12040172134,64,0,0,0,0
2000155000,2000160000,0,84,1,10000000000,56592,46112,16768,6288,0,0,0,2.68288e+10,1.00608e+10,2.096e+09,4,0,0,12040172134,64,0,0,0,0
2000160000,2000165000,0,84,1,10000000000,76504,56592,25152,5240,0,0,0,4.02432e+10,8.384e+09,3.9824e+09,2,0,1,12040172134,64,0,0,0,0
2000165000,2000170000,0,84,1,10000000000,91176,76504,20960,6288,0,0,0,3.3536e+10,1.00608e+10,2.9344e+09,2,0,1,12040172134,64,0,0,0,0
2000170000,2000175000,0,84,1,10000000000,89080,91176,4192,6288,0,0,0,6.7072e+09,1.00608e+10,-4.192e+08,0,0,0,12040172134,64,0,0,0,0
2000175000,2000180000,0,84,1,10000000000,83840,89080,1048,6288,0,0,0,1.6768e+09,1.00608e+10,-1.048e+09,0,0,0,12040172134,64,0,0,0,0
