time_ns,event,link_id,node_id,if_index,packet_uid,packet_bytes
20038375,TX_END,0,84,1,3183,1000
20038375,TX_BEGIN,0,84,1,3185,1000
20038394,TX_END,0,84,1,3185,1000
20038394,TX_BEGIN,0,84,1,3187,1000
20038413,TX_END,0,84,1,3187,1000
20038413,TX_BEGIN,0,84,1,3189,1000
20038432,TX_END,0,84,1,3189,1000
20038432,TX_BEGIN,0,84,1,3191,1000
20038451,TX_END,0,84,1,3191,1000
20038451,TX_BEGIN,0,84,1,3193,1000
20038470,TX_END,0,84,1,3193,1000
20038470,TX_BEGIN,0,84,1,3195,1000
20038489,TX_END,0,84,1,3195,1000
20038489,TX_BEGIN,0,84,1,3197,1000
20038508,TX_END,0,84,1,3197,1000
20038508,TX_BEGIN,0,84,1,3199,1000
20038527,TX_END,0,84,1,3199,1000
20038527,TX_BEGIN,0,84,1,3201,1000
20038546,TX_END,0,84,1,3201,1000
20038546,TX_BEGIN,0,84,1,3203,1000
20038565,TX_END,0,84,1,3203,1000
20038565,TX_BEGIN,0,84,1,3205,1000
20038584,TX_END,0,84,1,3205,1000
20038584,TX_BEGIN,0,84,1,3207,1000
20038603,TX_END,0,84,1,3207,1000
20038603,TX_BEGIN,0,84,1,3209,1000
20038622,TX_END,0,84,1,3209,1000
20038622,TX_BEGIN,0,84,1,3211,1000
20038641,TX_END,0,84,1,3211,1000
20038641,TX_BEGIN,0,84,1,3213,1000
20038660,TX_END,0,84,1,3213,1000
20038660,TX_BEGIN,0,84,1,3215,1000
20038679,TX_END,0,84,1,3215,1000
20038679,TX_BEGIN,0,84,1,3217,1000
20038698,TX_END,0,84,1,3217,1000
20038698,TX_BEGIN,0,84,1,3219,1000
20038717,TX_END,0,84,1,3219,1000
20038717,TX_BEGIN,0,84,1,3221,1000
20038736,TX_END,0,84,1,3221,1000
20038736,TX_BEGIN,0,84,1,3223,1000
20038755,TX_END,0,84,1,3223,1000
20038755,TX_BEGIN,0,84,1,3225,1000
20038774,TX_END,0,84,1,3225,1000
20038774,TX_BEGIN,0,84,1,3227,1000
20038793,TX_END,0,84,1,3227,1000
20038793,TX_BEGIN,0,84,1,3229,1000
20038812,TX_END,0,84,1,3229,1000
20038812,TX_BEGIN,0,84,1,3231,1000
20038831,TX_END,0,84,1,3231,1000
20038831,TX_BEGIN,0,84,1,3233,1000
20038850,TX_END,0,84,1,3233,1000
20038850,TX_BEGIN,0,84,1,3235,1000
20038869,TX_END,0,84,1,3235,1000
20038869,TX_BEGIN,0,84,1,3237,1000
20038888,TX_END,0,84,1,3237,1000
20038888,TX_BEGIN,0,84,1,3239,1000
20038907,TX_END,0,84,1,3239,1000
20038907,TX_BEGIN,0,84,1,3241,1000
20038926,TX_END,0,84,1,3241,1000
20038926,TX_BEGIN,0,84,1,3243,1000
20038945,TX_END,0,84,1,3243,1000
20038945,TX_BEGIN,0,84,1,3245,1000
20038964,TX_END,0,84,1,3245,1000
20038964,TX_BEGIN,0,84,1,3247,1000
20038983,TX_END,0,84,1,3247,1000
20038983,TX_BEGIN,0,84,1,3249,1000
20039002,TX_END,0,84,1,3249,1000
20039002,TX_BEGIN,0,84,1,3251,1000
20039021,TX_END,0,84,1,3251,1000
20039021,TX_BEGIN,0,84,1,3253,1000
20039040,TX_END,0,84,1,3253,1000
20039040,TX_BEGIN,0,84,1,3255,1000
20039059,TX_END,0,84,1,3255,1000
20039059,TX_BEGIN,0,84,1,3257,1000
20039078,TX_END,0,84,1,3257,1000
20039078,TX_BEGIN,0,84,1,3259,1000
20039097,TX_END,0,84,1,3259,1000
20039097,TX_BEGIN,0,84,1,3261,1000
20039116,TX_END,0,84,1,3261,1000
20039116,TX_BEGIN,0,84,1,3263,1000
20039135,TX_END,0,84,1,3263,1000
20039135,TX_BEGIN,0,84,1,3265,1000
20039154,TX_END,0,84,1,3265,1000
20039154,TX_BEGIN,0,84,1,3267,1000
20039173,TX_END,0,84,1,3267,1000
20039173,TX_BEGIN,0,84,1,3269,1000
20039192,TX_END,0,84,1,3269,1000
20039192,TX_BEGIN,0,84,1,3271,1000
20039211,TX_END,0,84,1,3271,1000
20039211,TX_BEGIN,0,84,1,3273,1000
20039230,TX_END,0,84,1,3273,1000
20039230,TX_BEGIN,0,84,1,3275,1000
20039249,TX_END,0,84,1,3275,1000
20039249,TX_BEGIN,0,84,1,3277,1000
20039268,TX_END,0,84,1,3277,1000
20039268,TX_BEGIN,0,84,1,3279,1000
20039287,TX_END,0,84,1,3279,1000
20039287,TX_BEGIN,0,84,1,3281,1000
20039306,TX_END,0,84,1,3281,1000
20039306,TX_BEGIN,0,84,1,3283,1000
20039325,TX_END,0,84,1,3283,1000
20039325,TX_BEGIN,0,84,1,3285,1000
20039344,TX_END,0,84,1,3285,1000
20039344,TX_BEGIN,0,84,1,3287,1000
20039363,TX_END,0,84,1,3287,1000
20039363,TX_BEGIN,0,84,1,3289,1000
20039382,TX_END,0,84,1,3289,1000
20039382,TX_BEGIN,0,84,1,3291,1000
20039401,TX_END,0,84,1,3291,1000
20039401,TX_BEGIN,0,84,1,3293,1000
20039420,TX_END,0,84,1,3293,1000
20039420,TX_BEGIN,0,84,1,3295,1000
20039439,TX_END,0,84,1,3295,1000
20039439,TX_BEGIN,0,84,1,3297,1000
20039458,TX_END,0,84,1,3297,1000
20039458,TX_BEGIN,0,84,1,3299,1000
20039477,TX_END,0,84,1,3299,1000
20039477,TX_BEGIN,0,84,1,3301,1000
20039496,TX_END,0,84,1,3301,1000
20039496,TX_BEGIN,0,84,1,3303,1000
20039515,TX_END,0,84,1,3303,1000
20039515,TX_BEGIN,0,84,1,3305,1000
20039534,TX_END,0,84,1,3305,1000
20039534,TX_BEGIN,0,84,1,3307,1000
20039553,TX_END,0,84,1,3307,1000
20039553,TX_BEGIN,0,84,1,3309,1000
20039572,TX_END,0,84,1,3309,1000
20039572,TX_BEGIN,0,84,1,3311,1000
20039591,TX_END,0,84,1,3311,1000
20039591,TX_BEGIN,0,84,1,3313,1000
20039610,TX_END,0,84,1,3313,1000
20039610,TX_BEGIN,0,84,1,3315,1000
20039629,TX_END,0,84,1,3315,1000
20039629,TX_BEGIN,0,84,1,3317,1000
20039648,TX_END,0,84,1,3317,1000
20039648,TX_BEGIN,0,84,1,3319,1000
20039667,TX_END,0,84,1,3319,1000
20039667,TX_BEGIN,0,84,1,3321,1000
20039686,TX_END,0,84,1,3321,1000
20039686,TX_BEGIN,0,84,1,3323,1000
20039705,TX_END,0,84,1,3323,1000
20039705,TX_BEGIN,0,84,1,3325,1000
20039724,TX_END,0,84,1,3325,1000
20039724,TX_BEGIN,0,84,1,3327,1000
20039743,TX_END,0,84,1,3327,1000
20039743,TX_BEGIN,0,84,1,3329,1000
20039762,TX_END,0,84,1,3329,1000
20039762,TX_BEGIN,0,84,1,3331,1000
20039781,TX_END,0,84,1,3331,1000
20039781,TX_BEGIN,0,84,1,3333,1000
20039800,TX_END,0,84,1,3333,1000
20039800,TX_BEGIN,0,84,1,3335,1000
20039819,TX_END,0,84,1,3335,1000
20039819,TX_BEGIN,0,84,1,3337,1000
20039838,TX_END,0,84,1,3337,1000
20039838,TX_BEGIN,0,84,1,3339,1000
20039857,TX_END,0,84,1,3339,1000
20039857,TX_BEGIN,0,84,1,3341,1000
20039876,TX_END,0,84,1,3341,1000
20039876,TX_BEGIN,0,84,1,3343,1000
20039895,TX_END,0,84,1,3343,1000
20039895,TX_BEGIN,0,84,1,3345,1000
20039914,TX_END,0,84,1,3345,1000
20039914,TX_BEGIN,0,84,1,3347,1000
20039933,TX_END,0,84,1,3347,1000
20039933,TX_BEGIN,0,84,1,3349,1000
20039952,TX_END,0,84,1,3349,1000
20039952,TX_BEGIN,0,84,1,3351,1000
20039971,TX_END,0,84,1,3351,1000
20039971,TX_BEGIN,0,84,1,3353,1000
20039990,TX_END,0,84,1,3353,1000
20039990,TX_BEGIN,0,84,1,3355,1000
20040009,TX_END,0,84,1,3355,1000
20040009,TX_BEGIN,0,84,1,3357,1000
20040028,TX_END,0,84,1,3357,1000
20040028,TX_BEGIN,0,84,1,3359,1000
20040047,TX_END,0,84,1,3359,1000
20040047,TX_BEGIN,0,84,1,3361,1000
20040066,TX_END,0,84,1,3361,1000
20040066,TX_BEGIN,0,84,1,3363,1000
20040085,TX_END,0,84,1,3363,1000
20040085,TX_BEGIN,0,84,1,3365,1000
20040104,TX_END,0,84,1,3365,1000
20040104,TX_BEGIN,0,84,1,3367,1000
20040123,TX_END,0,84,1,3367,1000
20040123,TX_BEGIN,0,84,1,3369,1000
20040142,TX_END,0,84,1,3369,1000
20040142,TX_BEGIN,0,84,1,3371,1000
20040161,TX_END,0,84,1,3371,1000
20040161,TX_BEGIN,0,84,1,3373,1000
20040180,TX_END,0,84,1,3373,1000
