run_id,flow_id,generation_id,magnitude_class,old_target_bps,new_target_bps,successor_target_bps,override_duration_ns,attributable_bytes_upper
sr_cbap_s3_out,51,134,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,52,135,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,53,136,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,54,137,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,55,138,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,56,139,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,57,140,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,58,141,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,59,142,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,60,143,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,61,144,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,62,145,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,63,146,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,64,147,redundant_dominated,141139161.0,143843823.0,145453097.0,5000,
sr_cbap_s3_out,0,148,redundant_dominated,451207203.0,345845042.0,272091529.0,5000,
sr_cbap_s3_out,1,149,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,2,150,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,3,151,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,4,152,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,5,153,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,6,154,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,7,155,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,8,156,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,9,157,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,10,158,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,11,159,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,12,160,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,13,161,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,14,162,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,15,163,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,16,164,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,17,165,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,18,166,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,19,167,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,20,168,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,21,169,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,22,170,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,23,171,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,24,172,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,25,173,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,26,174,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,27,175,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,28,176,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,29,177,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,30,178,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,31,179,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,32,180,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,33,181,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,34,182,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,35,183,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,36,184,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,37,185,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,38,186,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,39,187,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,40,188,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,41,189,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,42,190,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,43,191,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,44,192,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,45,193,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,46,194,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,47,195,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,48,196,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,49,197,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,50,198,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,51,199,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,52,200,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,53,201,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,54,202,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
sr_cbap_s3_out,55,203,redundant_dominated,143843823.0,145453097.0,146410615.0,5000,
