time_ns,node_id,if_index,q_index,event_type
20814906,85,17,3,0
20815046,87,17,3,0
20817847,88,17,3,1
20820407,85,17,3,1
20820607,87,17,3,1
20822866,88,17,3,0
20836166,85,17,3,0
20836306,87,17,3,0
20841967,85,17,3,1
20842047,87,17,3,1
20857926,87,17,3,0
20857946,85,17,3,0
20863767,87,17,3,1
20863787,85,17,3,1
20879746,87,17,3,0
20879766,85,17,3,0
20885607,87,17,3,1
20885627,85,17,3,1
20901466,85,17,3,0
20901686,87,17,3,0
20907307,85,17,3,1
20907527,87,17,3,1
20922606,85,17,3,0
20922706,87,17,3,0
20928527,85,17,3,1
20928607,87,17,3,1
20942126,85,17,3,0
20942166,87,17,3,0
20947867,85,17,3,1
20947907,87,17,3,1
20956946,85,17,3,0
20961526,87,17,3,0
20967467,87,17,3,1
20980986,87,17,3,0
20987147,87,17,3,1
21000786,87,17,3,0
21006947,87,17,3,1
21020666,87,17,3,0
21026847,87,17,3,1
21040506,87,17,3,0
21046627,87,17,3,1
21060406,87,17,3,0
21066607,87,17,3,1
21080286,87,17,3,0
21086447,87,17,3,1
21099946,87,17,3,0
21106047,87,17,3,1
21119606,87,17,3,0
21125687,87,17,3,1
21139126,87,17,3,0
21145267,87,17,3,1
21158826,87,17,3,0
21164947,87,17,3,1
21178486,87,17,3,0
21184587,87,17,3,1
21198166,87,17,3,0
21204307,87,17,3,1
21218026,87,17,3,0
21224167,87,17,3,1
21235766,87,17,3,0
21241787,87,17,3,1
21253186,87,17,3,0
21259347,87,17,3,1
21270946,87,17,3,0
21277227,87,17,3,1
21289026,87,17,3,0
21295347,87,17,3,1
21307346,87,17,3,0
21313647,87,17,3,1
21325006,87,17,3,0
21331327,87,17,3,1
21342466,87,17,3,0
21348627,87,17,3,1
21357326,87,17,3,0
21363527,87,17,3,1
21372066,87,17,3,0
21378447,87,17,3,1
21387146,87,17,3,0
21393547,87,17,3,1
21402266,87,17,3,0
21408687,87,17,3,1
21417426,87,17,3,0
21423787,87,17,3,1
21432466,87,17,3,0
21438887,87,17,3,1
21447566,87,17,3,0
21453967,87,17,3,1
21462646,87,17,3,0
21468987,87,17,3,1
21477706,87,17,3,0
21484027,87,17,3,1
21492566,87,17,3,0
21498927,87,17,3,1
21507546,87,17,3,0
21513907,87,17,3,1
21519106,87,17,3,0
22768230,88,17,3,1
22768230,85,17,3,1
22768250,87,17,3,1
22768250,86,17,3,1
22784596,88,17,3,0
22784616,85,17,3,0
22784636,87,17,3,0
22784656,86,17,3,0
22790017,88,17,3,1
22790037,85,17,3,1
22790057,86,17,3,1
22790057,87,17,3,1
22800136,86,17,3,0
22805557,86,17,3,1
22806396,86,17,3,0
22806416,88,17,3,0
22806436,85,17,3,0
22806456,87,17,3,0
22811897,88,17,3,1
22811917,85,17,3,1
22811937,87,17,3,1
22827916,88,17,3,0
22827936,85,17,3,0
22827956,87,17,3,0
22833497,88,17,3,1
22833517,85,17,3,1
22833537,87,17,3,1
22849476,88,17,3,0
22849496,85,17,3,0
22849516,87,17,3,0
22855057,88,17,3,1
22855077,85,17,3,1
22855097,87,17,3,1
22871056,88,17,3,0
22871076,85,17,3,0
22871096,87,17,3,0
22876637,88,17,3,1
22876657,85,17,3,1
22876677,87,17,3,1
22892636,88,17,3,0
22892656,85,17,3,0
22892676,87,17,3,0
22898217,88,17,3,1
22898237,85,17,3,1
22898257,87,17,3,1
22914196,88,17,3,0
22914216,85,17,3,0
22914236,87,17,3,0
22919777,88,17,3,1
22919797,85,17,3,1
22919817,87,17,3,1
22935776,88,17,3,0
22935796,85,17,3,0
22935816,87,17,3,0
22941357,85,17,3,1
22941357,88,17,3,1
22941377,87,17,3,1
22957296,85,17,3,0
22957316,87,17,3,0
22957356,88,17,3,0
22962877,85,17,3,1
22962897,87,17,3,1
22962917,88,17,3,1
22978836,88,17,3,0
22978856,85,17,3,0
22978876,87,17,3,0
22984417,88,17,3,1
22984437,85,17,3,1
22984457,87,17,3,1
23000416,88,17,3,0
23000436,85,17,3,0
23000456,87,17,3,0
23005997,88,17,3,1
23006017,85,17,3,1
23006037,87,17,3,1
23021996,88,17,3,0
23022016,85,17,3,0
23022036,87,17,3,0
23027557,88,17,3,1
23027577,85,17,3,1
23027597,87,17,3,1
23043516,87,17,3,0
23043556,88,17,3,0
23043576,85,17,3,0
23049097,87,17,3,1
23049137,88,17,3,1
23049157,85,17,3,1
23065056,88,17,3,0
23065076,85,17,3,0
23065096,87,17,3,0
23070617,88,17,3,1
23070637,85,17,3,1
23070657,87,17,3,1
23078456,88,17,3,0
23086576,85,17,3,0
23086596,87,17,3,0
23092297,85,17,3,1
23092317,87,17,3,1
23108156,85,17,3,0
23108176,87,17,3,0
23113977,85,17,3,1
23113997,87,17,3,1
23129716,85,17,3,0
23129736,87,17,3,0
23135537,85,17,3,1
23135557,87,17,3,1
23151376,85,17,3,0
23151396,87,17,3,0
23157217,85,17,3,1
23157237,87,17,3,1
23173036,85,17,3,0
23173056,87,17,3,0
23178897,85,17,3,1
23178917,87,17,3,1
23194756,85,17,3,0
23194776,87,17,3,0
23200597,85,17,3,1
23200617,87,17,3,1
23216416,85,17,3,0
23216436,87,17,3,0
23222217,87,17,3,1
23222217,85,17,3,1
23237416,87,17,3,0
23237436,85,17,3,0
23242937,87,17,3,1
23242957,85,17,3,1
23255736,87,17,3,0
23255756,85,17,3,0
23261437,85,17,3,1
23261437,87,17,3,1
23275116,85,17,3,0
23275156,87,17,3,0
23280977,85,17,3,1
23280997,87,17,3,1
23294896,87,17,3,0
23294916,85,17,3,0
23300777,85,17,3,1
23300777,87,17,3,1
23314696,85,17,3,0
23314736,87,17,3,0
23320577,85,17,3,1
23320597,87,17,3,1
23334456,87,17,3,0
23334476,85,17,3,0
23340337,85,17,3,1
23340337,87,17,3,1
23346636,85,17,3,0
23354336,87,17,3,0
23360417,87,17,3,1
23374156,87,17,3,0
23380317,87,17,3,1
23393836,87,17,3,0
23399977,87,17,3,1
23413636,87,17,3,0
23419797,87,17,3,1
23433416,87,17,3,0
23439577,87,17,3,1
23453276,87,17,3,0
23459437,87,17,3,1
23473016,87,17,3,0
23479197,87,17,3,1
23492336,87,17,3,0
23498457,87,17,3,1
23509616,87,17,3,0
23515737,87,17,3,1
23527316,87,17,3,0
23533577,87,17,3,1
23545356,87,17,3,0
23551637,87,17,3,1
23563256,87,17,3,0
23569537,87,17,3,1
23581256,87,17,3,0
23587557,87,17,3,1
23599216,87,17,3,0
23605517,87,17,3,1
23617216,87,17,3,0
23623437,87,17,3,1
23635016,87,17,3,0
23640997,87,17,3,1
23651556,87,17,3,0
23657637,87,17,3,1
23668596,87,17,3,0
23674857,87,17,3,1
23685936,87,17,3,0
23692237,87,17,3,1
23703476,87,17,3,0
23709737,87,17,3,1
23720156,87,17,3,0
23726417,87,17,3,1
23735196,87,17,3,0
23741497,87,17,3,1
23750136,87,17,3,0
23756537,87,17,3,1
23765336,87,17,3,0
23771717,87,17,3,1
23780476,87,17,3,0
23786877,87,17,3,1
23795576,87,17,3,0
23801977,87,17,3,1
23805756,87,17,3,0
